service_access_id,area_id,year,indicator_id,service_category,value
1,1,2022,29,Tap/Pipe supply,11
2,1,2022,29,Tubewell deep/shallow,85
3,1,2022,29,Bottled water/Water jar,0
4,1,2022,29,Well,0
5,1,2022,29,Pond/River/Canal/Lake,0
6,1,2022,29,Spring,0
7,1,2022,29,Rain water,0
8,1,2022,29,Others,0
9,2,2022,29,Tap/Pipe supply,3
10,2,2022,29,Tubewell deep/shallow,91
11,2,2022,29,Bottled water/Water jar,0
12,2,2022,29,Well,0
13,2,2022,29,Pond/River/Canal/Lake,2
14,2,2022,29,Spring,0
15,2,2022,29,Rain water,1
16,2,2022,29,Others,0
17,3,2022,29,Tap/Pipe supply,12
18,3,2022,29,Tubewell deep/shallow,84
19,3,2022,29,Bottled water/Water jar,0
20,3,2022,29,Well,1
21,3,2022,29,Pond/River/Canal/Lake,0
22,3,2022,29,Spring,0
23,3,2022,29,Rain water,0
24,3,2022,29,Others,0
25,4,2022,29,Tap/Pipe supply,26
26,4,2022,29,Tubewell deep/shallow,72
27,4,2022,29,Bottled water/Water jar,0
28,4,2022,29,Well,0
29,4,2022,29,Pond/River/Canal/Lake,0
30,4,2022,29,Spring,0
31,4,2022,29,Rain water,0
32,4,2022,29,Others,0
33,5,2022,29,Tap/Pipe supply,3
34,5,2022,29,Tubewell deep/shallow,86
35,5,2022,29,Bottled water/Water jar,3
36,5,2022,29,Well,0
37,5,2022,29,Pond/River/Canal/Lake,3
38,5,2022,29,Spring,0
39,5,2022,29,Rain water,3
40,5,2022,29,Others,0
41,6,2022,29,Tap/Pipe supply,1
42,6,2022,29,Tubewell deep/shallow,97
43,6,2022,29,Bottled water/Water jar,0
44,6,2022,29,Well,0
45,6,2022,29,Pond/River/Canal/Lake,0
46,6,2022,29,Spring,0
47,6,2022,29,Rain water,0
48,6,2022,29,Others,0
49,7,2022,29,Tap/Pipe supply,6
50,7,2022,29,Tubewell deep/shallow,93
51,7,2022,29,Bottled water/Water jar,0
52,7,2022,29,Well,0
53,7,2022,29,Pond/River/Canal/Lake,0
54,7,2022,29,Spring,0
55,7,2022,29,Rain water,0
56,7,2022,29,Others,0
57,8,2022,29,Tap/Pipe supply,1
58,8,2022,29,Tubewell deep/shallow,98
59,8,2022,29,Bottled water/Water jar,0
60,8,2022,29,Well,0
61,8,2022,29,Pond/River/Canal/Lake,0
62,8,2022,29,Spring,0
63,8,2022,29,Rain water,0
