buyer_id,destination_country,buyer_name,buyer_address
1,JP,JP International Imports Ltd. 001,"101 Trade Avenue, JP"
2,VN,VN International Retail Group 002,"102 Trade Avenue, VN"
3,CA,CA International Trading LLC 003,"103 Trade Avenue, CA"
4,ES,ES International Sourcing GmbH 004,"104 Trade Avenue, ES"
5,AU,AU International Commerce BV 005,"105 Trade Avenue, AU"
6,PK,PK International Distribution Inc. 006,"106 Trade Avenue, PK"
7,KR,KR International Imports Ltd. 007,"107 Trade Avenue, KR"
8,AE,AE International Retail Group 008,"108 Trade Avenue, AE"
9,GB,GB International Trading LLC 009,"109 Trade Avenue, GB"
10,NL,NL International Sourcing GmbH 010,"110 Trade Avenue, NL"
11,NZ,NZ International Commerce BV 011,"111 Trade Avenue, NZ"
12,LK,LK International Distribution Inc. 012,"112 Trade Avenue, LK"
13,SG,SG International Imports Ltd. 013,"113 Trade Avenue, SG"
14,SA,SA International Retail Group 014,"114 Trade Avenue, SA"
15,DE,DE International Trading LLC 015,"115 Trade Avenue, DE"
16,BE,BE International Sourcing GmbH 016,"116 Trade Avenue, BE"
17,ZA,ZA International Commerce BV 017,"117 Trade Avenue, ZA"
18,NP,NP International Distribution Inc. 018,"118 Trade Avenue, NP"
19,MY,MY International Imports Ltd. 019,"119 Trade Avenue, MY"
20,QA,QA International Retail Group 020,"120 Trade Avenue, QA"
21,FR,FR International Trading LLC 021,"121 Trade Avenue, FR"
22,SE,SE International Sourcing GmbH 022,"122 Trade Avenue, SE"
23,BR,BR International Commerce BV 023,"123 Trade Avenue, BR"
24,CN,CN International Distribution Inc. 024,"124 Trade Avenue, CN"
25,TH,TH International Imports Ltd. 025,"125 Trade Avenue, TH"
26,US,US International Retail Group 026,"126 Trade Avenue, US"
27,IT,IT International Trading LLC 027,"127 Trade Avenue, IT"
28,CH,CH International Sourcing GmbH 028,"128 Trade Avenue, CH"
29,IN,IN International Commerce BV 029,"129 Trade Avenue, IN"
30,JP,JP International Distribution Inc. 030,"130 Trade Avenue, JP"
31,VN,VN International Imports Ltd. 031,"131 Trade Avenue, VN"
32,CA,CA International Retail Group 032,"132 Trade Avenue, CA"
33,ES,ES International Trading LLC 033,"133 Trade Avenue, ES"
34,AU,AU International Sourcing GmbH 034,"134 Trade Avenue, AU"
35,PK,PK International Commerce BV 035,"135 Trade Avenue, PK"
36,KR,KR International Distribution Inc. 036,"136 Trade Avenue, KR"
37,AE,AE International Imports Ltd. 037,"137 Trade Avenue, AE"
38,GB,GB International Retail Group 038,"138 Trade Avenue, GB"
39,NL,NL International Trading LLC 039,"139 Trade Avenue, NL"
40,NZ,NZ International Sourcing GmbH 040,"140 Trade Avenue, NZ"
41,LK,LK International Commerce BV 041,"141 Trade Avenue, LK"
42,SG,SG International Distribution Inc. 042,"142 Trade Avenue, SG"
43,SA,SA International Imports Ltd. 043,"143 Trade Avenue, SA"
44,DE,DE International Retail Group 044,"144 Trade Avenue, DE"
45,BE,BE International Trading LLC 045,"145 Trade Avenue, BE"
