country_code,country_name,region
BD,Bangladesh,South Asia
IN,India,South Asia
PK,Pakistan,South Asia
LK,Sri Lanka,South Asia
NP,Nepal,South Asia
CN,China,East Asia
JP,Japan,East Asia
KR,South Korea,East Asia
SG,Singapore,Southeast Asia
MY,Malaysia,Southeast Asia
TH,Thailand,Southeast Asia
VN,Vietnam,Southeast Asia
AE,United Arab Emirates,Middle East
SA,Saudi Arabia,Middle East
QA,Qatar,Middle East
US,United States,North America
CA,Canada,North America
GB,United Kingdom,Europe
DE,Germany,Europe
FR,France,Europe
IT,Italy,Europe
ES,Spain,Europe
NL,Netherlands,Europe
BE,Belgium,Europe
SE,Sweden,Europe
CH,Switzerland,Europe
AU,Australia,Oceania
NZ,New Zealand,Oceania
ZA,South Africa,Africa
BR,Brazil,South America
