demographic_ratio_id,area_id,year,indicator_id,value
1,1,1974,1,108
2,1,1981,1,106
3,1,1991,1,106
4,1,2001,1,106
5,1,2011,1,100
6,1,2022,1,98
7,2,1974,1,105
8,2,1981,1,105
9,2,1991,1,104
10,2,2001,1,104
11,2,2011,1,100
12,2,2022,1,95
13,3,1974,1,109
14,3,1981,1,106
15,3,1991,1,105
16,3,2001,1,104
17,3,2011,1,102
18,3,2022,1,93
19,4,1974,1,109
20,4,1981,1,108
21,4,1991,1,108
22,4,2001,1,109
23,4,2011,1,99
24,4,2022,1,103
25,5,1974,1,107
26,5,1981,1,107
27,5,1991,1,106
28,5,2001,1,107
29,5,2011,1,99
30,5,2022,1,98
31,6,2022,1,96
32,7,1974,1,106
33,7,1981,1,105
34,7,1991,1,105
35,7,2001,1,106
36,7,2011,1,97
37,7,2022,1,98
38,8,2011,1,98
39,8,2022,1,98
40,9,2001,1,105
41,9,2011,1,99
42,9,2022,1,95
43,1,1974,2,484
44,1,1981,2,590
45,1,1991,2,720
46,1,2001,2,843
47,1,2011,2,976
48,1,2022,2,1119
49,2,1974,2,408
50,2,1981,2,490
51,2,1991,2,561
52,2,2001,2,615
53,2,2011,2,630
54,2,2022,2,688
55,3,1974,2,402
56,3,1981,2,487
57,3,1991,2,589
58,3,2001,2,719
59,3,2011,2,838
60,3,2022,2,979
61,4,1974,2,685
62,4,1981,2,843
63,4,1991,2,1050
64,4,2001,2,1255
65,4,2011,2,1521
66,4,2022,2,2156
67,5,1974,2,394
68,5,1981,2,478
69,5,1991,2,570
70,5,2001,2,660
71,5,2011,2,704
72,5,2022,2,782
73,6,2022,2,1146
74,7,1974,2,502
75,7,1981,2,612
76,7,1991,2,759
77,7,2001,2,875
78,7,2011,2,1018
79,7,2022,2,1121
80,8,2011,2,784
81,8,2022,2,1088
82,9,1981,2,445
83,9,1991,2,537
84,9,2001,2,630
85,9,2011,2,975
86,9,2022,2,873
87,1,2022,3,332
88,1,2022,4,351
89,1,2022,5,295
90,2,2022,3,349
91,2,2022,4,356
92,2,2022,5,327
93,3,2022,3,372
94,3,2022,4,393
95,3,2022,5,330
96,4,2022,3,298
97,4,2022,4,326
98,4,2022,5,267
99,5,2022,3,300
100,5,2022,4,306
101,5,2022,5,283
102,6,2022,3,383
103,6,2022,4,399
104,6,2022,5,331
105,7,2022,3,307
106,7,2022,4,315
107,7,2022,5,280
108,8,2022,3,343
109,8,2022,4,351
110,8,2022,5,315
111,9,2022,3,372
112,9,2022,4,383
113,9,2022,5,324
114,1,2022,6,52
115,1,2022,7,56
116,1,2022,8,45
117,2,2022,6,57
118,2,2022,7,59
119,2,2022,8,53
120,3,2022,6,59
121,3,2022,7,64
122,3,2022,8,52
123,4,2022,6,46
124,4,2022,7,52
125,4,2022,8,39
126,5,2022,6,48
127,5,2022,7,49
128,5,2022,8,45
129,6,2022,6,60
130,6,2022,7,62
131,6,2022,8,53
132,7,2022,6,48
133,7,2022,7,50
134,7,2022,8,45
135,8,2022,6,53
136,8,2022,7,54
137,8,2022,8,49
138,9,2022,6,60
139,9,2022,7,62
140,9,2022,8,52
141,1,2022,9,31.51
142,2,2022,9,25.13
143,3,2022,9,33.67
144,4,2022,9,46.94
145,5,2022,9,24.76
146,6,2022,9,22.34
147,7,2022,9,23.79
148,8,2022,9,21.95
149,9,2022,9,18.72
150,10,2022,2,7230
151,11,2022,2,20767
152,12,2022,2,8285
153,13,2022,2,30474
154,14,2022,2,39353
155,15,2022,2,8117
156,16,2022,2,15744
157,17,2022,2,6315
158,18,2022,2,13361
159,19,2022,2,5688
160,20,2022,2,3444
161,21,2022,2,20092
162,22,2022,1,95
163,23,2022,1,95
164,24,2022,1,95
165,25,2022,1,91
166,26,2022,1,95
167,27,2022,1,94
168,28,2022,1,105
169,29,2022,1,86
170,30,2022,1,87
171,31,2022,1,99
172,32,2022,1,87
173,33,2022,1,103
174,34,2022,1,89
175,35,2022,1,100
176,36,2022,1,89
177,37,2022,1,91
178,38,2022,1,105
179,39,2022,1,115
180,40,2022,1,94
181,41,2022,1,108
182,42,2022,1,95
183,43,2022,1,92
184,44,2022,1,90
185,45,2022,1,93
186,46,2022,1,94
187,47,2022,1,106
188,48,2022,1,96
189,49,2022,1,95
190,50,2022,1,92
191,51,2022,1,93
192,52,2022,1,98
193,53,2022,1,97
194,54,2022,1,98
195,55,2022,1,98
