digital_access_id,area_id,year,indicator_id,sex,access_category,value
1,1,2022,26,All,Population age 5+,55
2,1,2022,26,Male,Population age 5+,66
3,1,2022,26,Female,Population age 5+,45
4,1,2022,26,All,Population age 18+,72
5,1,2022,26,Male,Population age 18+,86
6,1,2022,26,Female,Population age 18+,58
7,2,2022,26,All,Population age 5+,56
8,2,2022,26,Male,Population age 5+,64
9,2,2022,26,Female,Population age 5+,48
10,2,2022,26,All,Population age 18+,73
11,2,2022,26,Male,Population age 18+,85
12,2,2022,26,Female,Population age 18+,63
13,3,2022,26,All,Population age 5+,55
14,3,2022,26,Male,Population age 5+,61
15,3,2022,26,Female,Population age 5+,49
16,3,2022,26,All,Population age 18+,76
17,3,2022,26,Male,Population age 18+,86
18,3,2022,26,Female,Population age 18+,67
19,4,2022,26,All,Population age 5+,62
20,4,2022,26,Male,Population age 5+,70
21,4,2022,26,Female,Population age 5+,53
22,4,2022,26,All,Population age 18+,78
23,4,2022,26,Male,Population age 18+,89
24,4,2022,26,Female,Population age 18+,67
25,5,2022,26,All,Population age 5+,55
26,5,2022,26,Male,Population age 5+,68
27,5,2022,26,Female,Population age 5+,43
28,5,2022,26,All,Population age 18+,69
29,5,2022,26,Male,Population age 18+,85
30,5,2022,26,Female,Population age 18+,53
31,6,2022,26,All,Population age 5+,49
32,6,2022,26,Male,Population age 5+,62
33,6,2022,26,Female,Population age 5+,37
34,6,2022,26,All,Population age 18+,65
35,6,2022,26,Male,Population age 18+,83
36,6,2022,26,Female,Population age 18+,49
37,7,2022,26,All,Population age 5+,54
38,7,2022,26,Male,Population age 5+,68
39,7,2022,26,Female,Population age 5+,39
40,7,2022,26,All,Population age 18+,67
41,7,2022,26,Male,Population age 18+,86
42,7,2022,26,Female,Population age 18+,49
43,8,2022,26,All,Population age 5+,51
44,8,2022,26,Male,Population age 5+,66
45,8,2022,26,Female,Population age 5+,37
46,8,2022,26,All,Population age 18+,66
47,8,2022,26,Male,Population age 18+,86
48,8,2022,26,Female,Population age 18+,47
49,9,2022,26,All,Population age 5+,47
50,9,2022,26,Male,Population age 5+,59
51,9,2022,26,Female,Population age 5+,36
52,9,2022,26,All,Population age 18+,65
53,9,2022,26,Male,Population age 18+,82
54,9,2022,26,Female,Population age 18+,49
55,1,2022,27,All,Population age 5+,30
56,1,2022,27,Male,Population age 5+,38
57,1,2022,27,Female,Population age 5+,23
58,1,2022,27,All,Population age 18+,37
59,1,2022,27,Male,Population age 18+,46
60,1,2022,27,Female,Population age 18+,28
61,2,2022,27,All,Population age 5+,23
62,2,2022,27,Male,Population age 5+,30
63,2,2022,27,Female,Population age 5+,17
64,2,2022,27,All,Population age 18+,28
65,2,2022,27,Male,Population age 18+,37
66,2,2022,27,Female,Population age 18+,20
67,3,2022,27,All,Population age 5+,37
68,3,2022,27,Male,Population age 5+,42
69,3,2022,27,Female,Population age 5+,32
70,3,2022,27,All,Population age 18+,47
71,3,2022,27,Male,Population age 18+,55
72,3,2022,27,Female,Population age 18+,41
73,4,2022,27,All,Population age 5+,40
74,4,2022,27,Male,Population age 5+,47
75,4,2022,27,Female,Population age 5+,32
76,4,2022,27,All,Population age 18+,48
77,4,2022,27,Male,Population age 18+,57
78,4,2022,27,Female,Population age 18+,38
79,5,2022,27,All,Population age 5+,27
80,5,2022,27,Male,Population age 5+,35
81,5,2022,27,Female,Population age 5+,19
82,5,2022,27,All,Population age 18+,31
83,5,2022,27,Male,Population age 18+,41
84,5,2022,27,Female,Population age 18+,21
85,6,2022,27,All,Population age 5+,20
86,6,2022,27,Male,Population age 5+,27
87,6,2022,27,Female,Population age 5+,12
88,6,2022,27,All,Population age 18+,24
89,6,2022,27,Male,Population age 18+,34
90,6,2022,27,Female,Population age 18+,15
91,7,2022,27,All,Population age 5+,23
92,7,2022,27,Male,Population age 5+,31
93,7,2022,27,Female,Population age 5+,15
94,7,2022,27,All,Population age 18+,26
95,7,2022,27,Male,Population age 18+,36
96,7,2022,27,Female,Population age 18+,16
97,8,2022,27,All,Population age 5+,17
98,8,2022,27,Male,Population age 5+,25
99,8,2022,27,Female,Population age 5+,10
100,8,2022,27,All,Population age 18+,20
101,8,2022,27,Male,Population age 18+,30
102,8,2022,27,Female,Population age 18+,11
103,9,2022,27,All,Population age 5+,28
104,9,2022,27,Male,Population age 5+,35
105,9,2022,27,Female,Population age 5+,20
106,9,2022,27,All,Population age 18+,36
107,9,2022,27,Male,Population age 18+,46
108,9,2022,27,Female,Population age 18+,26
