event_id,district_id,event_name,event_type,start_date,end_date,displaced_persons,cause
1,58,Riverbank Erosion,Disaster,2023-06-05,2023-06-23,11740,Progressive riverbank erosion
2,31,Monsoon Flood,Disaster,2022-05-08,2022-05-19,10975,Heavy monsoon rainfall and river overflow
3,4,Flash Flood,Disaster,2022-01-20,2022-02-05,6461,Upstream rainfall and rapid water rise
4,46,Local Fire Incident,Emergency,2023-10-21,2023-10-25,9534,Dense settlement fire
5,35,Riverbank Erosion,Disaster,2022-08-27,2022-09-06,10479,Progressive riverbank erosion
6,53,Monsoon Flood,Disaster,2022-10-15,2022-11-01,5186,Heavy monsoon rainfall and river overflow
7,1,Local Fire Incident,Emergency,2025-11-15,2025-11-28,6036,Dense settlement fire
8,48,Flash Flood,Disaster,2024-06-18,2024-06-27,11322,Upstream rainfall and rapid water rise
9,53,Cyclone Impact,Disaster,2024-10-25,2024-10-26,13374,Cyclonic storm and storm surge
10,25,Local Fire Incident,Emergency,2025-08-02,2025-08-07,7712,Dense settlement fire
11,42,Cyclone Impact,Disaster,2022-05-14,2022-05-24,6404,Cyclonic storm and storm surge
12,39,Landslide,Disaster,2022-04-11,2022-04-25,7931,Heavy rainfall and slope instability
13,36,Cyclone Impact,Disaster,2023-06-13,2023-06-25,4928,Cyclonic storm and storm surge
14,30,Landslide,Disaster,2024-07-08,2024-07-13,16749,Heavy rainfall and slope instability
15,26,Local Fire Incident,Emergency,2024-07-11,2024-07-15,11735,Dense settlement fire
16,18,Flash Flood,Disaster,2023-03-21,,15300,Upstream rainfall and rapid water rise
17,3,Riverbank Erosion,Disaster,2022-08-08,2022-08-25,17776,Progressive riverbank erosion
18,1,Riverbank Erosion,Disaster,2023-08-04,2023-08-11,8311,Progressive riverbank erosion
19,42,Flash Flood,Disaster,2025-10-11,2025-10-20,188,Upstream rainfall and rapid water rise
20,22,Landslide,Disaster,2025-12-14,2025-12-28,13662,Heavy rainfall and slope instability
21,59,Local Fire Incident,Emergency,2024-03-26,2024-03-31,1336,Dense settlement fire
22,22,Local Fire Incident,Emergency,2022-11-26,2022-11-29,7016,Dense settlement fire
23,43,Local Fire Incident,Emergency,2023-02-08,2023-02-11,8517,Dense settlement fire
24,22,Cyclone Impact,Disaster,2022-12-10,2022-12-19,17973,Cyclonic storm and storm surge
25,6,Landslide,Disaster,2025-12-18,2025-12-27,4384,Heavy rainfall and slope instability
26,48,Riverbank Erosion,Disaster,2022-09-16,2022-09-30,11621,Progressive riverbank erosion
27,29,Riverbank Erosion,Disaster,2022-10-08,2022-10-22,10698,Progressive riverbank erosion
28,53,Monsoon Flood,Disaster,2022-08-19,2022-08-24,12977,Heavy monsoon rainfall and river overflow
29,48,Monsoon Flood,Disaster,2024-08-17,2024-09-03,4887,Heavy monsoon rainfall and river overflow
30,47,Landslide,Disaster,2024-09-14,2024-10-01,7833,Heavy rainfall and slope instability
31,64,Landslide,Disaster,2024-11-15,2024-11-20,5213,Heavy rainfall and slope instability
32,42,Monsoon Flood,Disaster,2023-11-14,2023-11-29,5191,Heavy monsoon rainfall and river overflow
33,28,Cyclone Impact,Disaster,2024-08-20,2024-08-30,7025,Cyclonic storm and storm surge
34,11,Riverbank Erosion,Disaster,2022-03-14,2022-03-18,8498,Progressive riverbank erosion
35,10,Local Fire Incident,Emergency,2025-07-14,2025-07-21,4273,Dense settlement fire
36,59,Cyclone Impact,Disaster,2023-06-12,2023-06-20,5998,Cyclonic storm and storm surge
37,32,Cyclone Impact,Disaster,2025-12-18,2025-12-30,13142,Cyclonic storm and storm surge
38,56,Cyclone Impact,Disaster,2024-09-03,2024-09-11,1312,Cyclonic storm and storm surge
