district_id,division_id,district_geocode,district_name,population_density
1,1,DST-001,Dhaka,10500
2,1,DST-002,Faridpur,1597
3,1,DST-003,Gazipur,4293
4,1,DST-004,Gopalganj,1813
5,1,DST-005,Kishoreganj,1246
6,1,DST-006,Madaripur,1027
7,1,DST-007,Manikganj,916
8,1,DST-008,Munshiganj,941
9,1,DST-009,Narayanganj,4425
10,1,DST-010,Narsingdi,1921
11,1,DST-011,Rajbari,1524
12,1,DST-012,Shariatpur,1146
13,1,DST-013,Tangail,1983
14,2,DST-014,Bandarban,228
15,2,DST-015,Brahmanbaria,679
16,2,DST-016,Chandpur,1918
17,2,DST-017,Chattogram,2096
18,2,DST-018,Cumilla,1875
19,2,DST-019,Cox's Bazar,796
20,2,DST-020,Feni,833
21,2,DST-021,Khagrachhari,289
22,2,DST-022,Lakshmipur,1400
23,2,DST-023,Noakhali,814
24,2,DST-024,Rangamati,255
25,3,DST-025,Bogura,946
26,3,DST-026,Joypurhat,704
27,3,DST-027,Naogaon,1738
28,3,DST-028,Natore,748
29,3,DST-029,Chapai Nawabganj,980
30,3,DST-030,Pabna,919
31,3,DST-031,Rajshahi,1366
32,3,DST-032,Sirajganj,1122
33,4,DST-033,Bagerhat,669
34,4,DST-034,Chuadanga,1518
35,4,DST-035,Jashore,2151
36,4,DST-036,Jhenaidah,913
37,4,DST-037,Khulna,1211
38,4,DST-038,Kushtia,1947
39,4,DST-039,Magura,1545
40,4,DST-040,Meherpur,1519
41,4,DST-041,Narail,1245
42,4,DST-042,Satkhira,2159
43,5,DST-043,Barguna,1250
44,5,DST-044,Barishal,2143
45,5,DST-045,Bhola,877
46,5,DST-046,Jhalokati,1629
47,5,DST-047,Patuakhali,984
48,5,DST-048,Pirojpur,807
49,6,DST-049,Habiganj,1537
50,6,DST-050,Moulvibazar,1184
51,6,DST-051,Sunamganj,1728
52,6,DST-052,Sylhet,1781
53,7,DST-053,Dinajpur,2126
54,7,DST-054,Gaibandha,1534
55,7,DST-055,Kurigram,1846
56,7,DST-056,Lalmonirhat,1662
57,7,DST-057,Nilphamari,1118
58,7,DST-058,Panchagarh,843
59,7,DST-059,Rangpur,909
60,7,DST-060,Thakurgaon,2042
61,8,DST-061,Jamalpur,2149
62,8,DST-062,Mymensingh,1276
63,8,DST-063,Netrokona,670
64,8,DST-064,Sherpur,1815
