edu_id,district_id,indicator_name,year,value,sex,level,unit
1,1,Net enrollment rate,2025,79,Male,Primary,%
2,1,Net enrollment rate,2025,62.5,Female,Primary,%
3,1,Net enrollment rate,2025,89,Male,Secondary,%
4,1,Net enrollment rate,2025,90.5,Female,Secondary,%
5,1,Completion rate,2025,80.7,Male,Primary,%
6,1,Completion rate,2025,88.7,Female,Primary,%
7,1,Completion rate,2025,73.3,Male,Secondary,%
8,1,Completion rate,2025,75.4,Female,Secondary,%
9,2,Net enrollment rate,2025,62,Male,Primary,%
10,2,Net enrollment rate,2025,65,Female,Primary,%
11,2,Net enrollment rate,2025,93,Male,Secondary,%
12,2,Net enrollment rate,2025,77.8,Female,Secondary,%
13,2,Completion rate,2025,82.7,Male,Primary,%
14,2,Completion rate,2025,89.3,Female,Primary,%
15,2,Completion rate,2025,64.9,Male,Secondary,%
16,2,Completion rate,2025,93.7,Female,Secondary,%
17,3,Net enrollment rate,2025,80.6,Male,Primary,%
18,3,Net enrollment rate,2025,77.6,Female,Primary,%
19,3,Net enrollment rate,2025,84.4,Male,Secondary,%
20,3,Net enrollment rate,2025,88.6,Female,Secondary,%
21,3,Completion rate,2025,86.5,Male,Primary,%
22,3,Completion rate,2025,63.5,Female,Primary,%
23,3,Completion rate,2025,77.6,Male,Secondary,%
24,3,Completion rate,2025,94.1,Female,Secondary,%
25,4,Net enrollment rate,2025,69.2,Male,Primary,%
26,4,Net enrollment rate,2025,64.8,Female,Primary,%
27,4,Net enrollment rate,2025,97.7,Male,Secondary,%
28,4,Net enrollment rate,2025,97.8,Female,Secondary,%
29,4,Completion rate,2025,88.2,Male,Primary,%
30,4,Completion rate,2025,81.8,Female,Primary,%
31,4,Completion rate,2025,87.3,Male,Secondary,%
32,4,Completion rate,2025,87.6,Female,Secondary,%
33,5,Net enrollment rate,2025,77.8,Male,Primary,%
34,5,Net enrollment rate,2025,66.3,Female,Primary,%
35,5,Net enrollment rate,2025,88.1,Male,Secondary,%
36,5,Net enrollment rate,2025,86.1,Female,Secondary,%
37,5,Completion rate,2025,75.6,Male,Primary,%
38,5,Completion rate,2025,67.3,Female,Primary,%
39,5,Completion rate,2025,62.1,Male,Secondary,%
40,5,Completion rate,2025,68.1,Female,Secondary,%
41,6,Net enrollment rate,2025,91.2,Male,Primary,%
42,6,Net enrollment rate,2025,94.5,Female,Primary,%
43,6,Net enrollment rate,2025,70.7,Male,Secondary,%
44,6,Net enrollment rate,2025,73.5,Female,Secondary,%
45,6,Completion rate,2025,70.9,Male,Primary,%
46,6,Completion rate,2025,75,Female,Primary,%
47,6,Completion rate,2025,85.9,Male,Secondary,%
48,6,Completion rate,2025,94,Female,Secondary,%
49,7,Net enrollment rate,2025,63.1,Male,Primary,%
50,7,Net enrollment rate,2025,72,Female,Primary,%
51,7,Net enrollment rate,2025,67,Male,Secondary,%
52,7,Net enrollment rate,2025,63.4,Female,Secondary,%
53,7,Completion rate,2025,94,Male,Primary,%
54,7,Completion rate,2025,83.1,Female,Primary,%
55,7,Completion rate,2025,72.7,Male,Secondary,%
56,7,Completion rate,2025,80.3,Female,Secondary,%
57,8,Net enrollment rate,2025,90,Male,Primary,%
58,8,Net enrollment rate,2025,83,Female,Primary,%
59,8,Net enrollment rate,2025,86.3,Male,Secondary,%
60,8,Net enrollment rate,2025,68.8,Female,Secondary,%
61,8,Completion rate,2025,75.1,Male,Primary,%
62,8,Completion rate,2025,82.1,Female,Primary,%
