ethnicity_id,area_id,year,ethnic_group,sex,indicator_id,value
1,1,2022,Ethnic minority population,All,24,1650159
2,1,2022,Ethnic minority population,All,25,1
3,1,2022,Ethnic minority population,Male,24,824751
4,1,2022,Ethnic minority population,Male,25,1
5,1,2022,Ethnic minority population,Female,24,825408
6,1,2022,Ethnic minority population,Female,25,0
7,2,2022,Ethnic minority population,All,24,4181
8,2,2022,Ethnic minority population,All,25,0
9,2,2022,Ethnic minority population,Male,24,2189
10,2,2022,Ethnic minority population,Male,25,0
11,2,2022,Ethnic minority population,Female,24,1992
12,2,2022,Ethnic minority population,Female,25,0
13,3,2022,Ethnic minority population,All,24,990860
14,3,2022,Ethnic minority population,All,25,2
15,3,2022,Ethnic minority population,Male,24,496694
16,3,2022,Ethnic minority population,Male,25,3
17,3,2022,Ethnic minority population,Female,24,494166
18,3,2022,Ethnic minority population,Female,25,2
19,4,2022,Ethnic minority population,All,24,82311
20,4,2022,Ethnic minority population,All,25,0
21,4,2022,Ethnic minority population,Male,24,41995
22,4,2022,Ethnic minority population,Male,25,0
23,4,2022,Ethnic minority population,Female,24,40316
24,4,2022,Ethnic minority population,Female,25,0
25,5,2022,Ethnic minority population,All,24,38992
26,5,2022,Ethnic minority population,All,25,0
27,5,2022,Ethnic minority population,Male,24,19646
28,5,2022,Ethnic minority population,Male,25,0
29,5,2022,Ethnic minority population,Female,24,19346
30,5,2022,Ethnic minority population,Female,25,0
31,6,2022,Ethnic minority population,All,24,61559
32,6,2022,Ethnic minority population,All,25,0
33,6,2022,Ethnic minority population,Male,24,30101
34,6,2022,Ethnic minority population,Male,25,0
35,6,2022,Ethnic minority population,Female,24,31458
36,6,2022,Ethnic minority population,Female,25,0
37,7,2022,Ethnic minority population,All,24,244592
38,7,2022,Ethnic minority population,All,25,1
39,7,2022,Ethnic minority population,Male,24,121127
40,7,2022,Ethnic minority population,Male,25,1
41,7,2022,Ethnic minority population,Female,24,123465
42,7,2022,Ethnic minority population,Female,25,1
43,8,2022,Ethnic minority population,All,24,91070
44,8,2022,Ethnic minority population,All,25,0
45,8,2022,Ethnic minority population,Male,24,45086
46,8,2022,Ethnic minority population,Male,25,0
47,8,2022,Ethnic minority population,Female,24,45984
48,8,2022,Ethnic minority population,Female,25,0
49,9,2022,Ethnic minority population,All,24,136594
50,9,2022,Ethnic minority population,All,25,1
51,9,2022,Ethnic minority population,Male,24,67913
52,9,2022,Ethnic minority population,Male,25,1
53,9,2022,Ethnic minority population,Female,24,68681
54,9,2022,Ethnic minority population,Female,25,1
55,1,2022,All ethnic minorities,All,24,1650478
56,1,2022,All ethnic minorities,All,25,100
57,1,2022,All ethnic minorities,Male,24,824933
58,1,2022,All ethnic minorities,Female,24,825545
59,2,2022,All ethnic minorities,All,24,4190
60,3,2022,All ethnic minorities,All,24,991013
61,4,2022,All ethnic minorities,All,24,82324
62,8,2022,All ethnic minorities,All,24,91079
63,9,2022,All ethnic minorities,All,24,136692
64,1,2022,Chakma,All,24,483299
65,1,2022,Chakma,All,25,29.29
66,1,2022,Marma,All,24,224261
67,1,2022,Marma,All,25,13.59
68,1,2022,Tripura,All,24,156578
69,1,2022,Tripura,All,25,9.49
70,1,2022,Santal,All,24,129049
71,1,2022,Santal,All,25,7.82
72,1,2022,Oraon,All,24,85846
73,1,2022,Oraon,All,25,5.2
74,1,2022,Garo,All,24,76846
75,1,2022,Garo,All,25,4.66
76,1,2022,Munda,All,24,60191
77,1,2022,Munda,All,25,3.65
78,1,2022,Mro,All,24,52455
79,1,2022,Mro,All,25,3.18
80,1,2022,Tanchangya,All,24,45972
81,1,2022,Tanchangya,All,25,2.79
82,1,2022,Barman,All,24,44657
83,1,2022,Barman,All,25,2.71
