exporter_id,country_code,exporter_name,address,city,state,bank_name
1,BD,Bengal Knitwear Ltd. 001,"Plot 1, Industrial Area, Dhaka",Dhaka,Dhaka,BRAC Bank PLC
2,BD,Padma Agro Exports 002,"Plot 2, Industrial Area, Gazipur",Gazipur,Gazipur,Sonali Bank PLC
3,BD,Meghna Apparel Ltd. 003,"Plot 3, Industrial Area, Narayanganj",Narayanganj,Narayanganj,Eastern Bank PLC
4,BD,Jamuna Jute Industries 004,"Plot 4, Industrial Area, Chattogram",Chattogram,Chattogram,Janata Bank PLC
5,BD,Delta Seafood Ltd. 005,"Plot 5, Industrial Area, Cumilla",Cumilla,Cumilla,BRAC Bank PLC
6,BD,Eastern Textiles Ltd. 006,"Plot 6, Industrial Area, Khulna",Khulna,Khulna,City Bank PLC
7,BD,Northern Leather Works 007,"Plot 7, Industrial Area, Jashore",Jashore,Jashore,Eastern Bank PLC
8,BD,Golden Trading Co. 008,"Plot 8, Industrial Area, Sylhet",Sylhet,Sylhet,Sonali Bank PLC
9,BD,Prime Knitwear Ltd. 009,"Plot 9, Industrial Area, Mymensingh",Mymensingh,Mymensingh,Janata Bank PLC
10,BD,Metro Agro Exports 010,"Plot 10, Industrial Area, Rangpur",Rangpur,Rangpur,Janata Bank PLC
11,BD,Bengal Apparel Ltd. 011,"Plot 11, Industrial Area, Dhaka",Dhaka,Dhaka,BRAC Bank PLC
12,BD,Padma Jute Industries 012,"Plot 12, Industrial Area, Gazipur",Gazipur,Gazipur,BRAC Bank PLC
13,BD,Meghna Seafood Ltd. 013,"Plot 13, Industrial Area, Narayanganj",Narayanganj,Narayanganj,Prime Bank PLC
14,BD,Jamuna Textiles Ltd. 014,"Plot 14, Industrial Area, Chattogram",Chattogram,Chattogram,Janata Bank PLC
15,BD,Delta Leather Works 015,"Plot 15, Industrial Area, Cumilla",Cumilla,Cumilla,BRAC Bank PLC
16,BD,Eastern Trading Co. 016,"Plot 16, Industrial Area, Khulna",Khulna,Khulna,Prime Bank PLC
17,BD,Northern Knitwear Ltd. 017,"Plot 17, Industrial Area, Jashore",Jashore,Jashore,BRAC Bank PLC
18,BD,Golden Agro Exports 018,"Plot 18, Industrial Area, Sylhet",Sylhet,Sylhet,Sonali Bank PLC
19,BD,Prime Apparel Ltd. 019,"Plot 19, Industrial Area, Mymensingh",Mymensingh,Mymensingh,Eastern Bank PLC
20,BD,Metro Jute Industries 020,"Plot 20, Industrial Area, Rangpur",Rangpur,Rangpur,Prime Bank PLC
21,BD,Bengal Seafood Ltd. 021,"Plot 21, Industrial Area, Dhaka",Dhaka,Dhaka,City Bank PLC
22,BD,Padma Textiles Ltd. 022,"Plot 22, Industrial Area, Gazipur",Gazipur,Gazipur,Sonali Bank PLC
23,BD,Meghna Leather Works 023,"Plot 23, Industrial Area, Narayanganj",Narayanganj,Narayanganj,Eastern Bank PLC
24,BD,Jamuna Trading Co. 024,"Plot 24, Industrial Area, Chattogram",Chattogram,Chattogram,Eastern Bank PLC
25,BD,Delta Knitwear Ltd. 025,"Plot 25, Industrial Area, Cumilla",Cumilla,Cumilla,Eastern Bank PLC
26,BD,Eastern Agro Exports 026,"Plot 26, Industrial Area, Khulna",Khulna,Khulna,Sonali Bank PLC
27,BD,Northern Apparel Ltd. 027,"Plot 27, Industrial Area, Jashore",Jashore,Jashore,Janata Bank PLC
28,BD,Golden Jute Industries 028,"Plot 28, Industrial Area, Sylhet",Sylhet,Sylhet,BRAC Bank PLC
29,BD,Prime Seafood Ltd. 029,"Plot 29, Industrial Area, Mymensingh",Mymensingh,Mymensingh,Prime Bank PLC
30,BD,Metro Textiles Ltd. 030,"Plot 30, Industrial Area, Rangpur",Rangpur,Rangpur,Prime Bank PLC
31,BD,Bengal Leather Works 031,"Plot 31, Industrial Area, Dhaka",Dhaka,Dhaka,Sonali Bank PLC
32,BD,Padma Trading Co. 032,"Plot 32, Industrial Area, Gazipur",Gazipur,Gazipur,Eastern Bank PLC
33,BD,Meghna Knitwear Ltd. 033,"Plot 33, Industrial Area, Narayanganj",Narayanganj,Narayanganj,Sonali Bank PLC
34,BD,Jamuna Agro Exports 034,"Plot 34, Industrial Area, Chattogram",Chattogram,Chattogram,City Bank PLC
35,BD,Delta Apparel Ltd. 035,"Plot 35, Industrial Area, Cumilla",Cumilla,Cumilla,Janata Bank PLC
36,BD,Eastern Jute Industries 036,"Plot 36, Industrial Area, Khulna",Khulna,Khulna,Prime Bank PLC
37,BD,Northern Seafood Ltd. 037,"Plot 37, Industrial Area, Jashore",Jashore,Jashore,Janata Bank PLC
38,BD,Golden Textiles Ltd. 038,"Plot 38, Industrial Area, Sylhet",Sylhet,Sylhet,City Bank PLC
39,BD,Prime Leather Works 039,"Plot 39, Industrial Area, Mymensingh",Mymensingh,Mymensingh,Janata Bank PLC
40,BD,Metro Trading Co. 040,"Plot 40, Industrial Area, Rangpur",Rangpur,Rangpur,Prime Bank PLC
41,BD,Bengal Knitwear Ltd. 041,"Plot 41, Industrial Area, Dhaka",Dhaka,Dhaka,BRAC Bank PLC
42,BD,Padma Agro Exports 042,"Plot 42, Industrial Area, Gazipur",Gazipur,Gazipur,Sonali Bank PLC
43,BD,Meghna Apparel Ltd. 043,"Plot 43, Industrial Area, Narayanganj",Narayanganj,Narayanganj,Janata Bank PLC
44,BD,Jamuna Jute Industries 044,"Plot 44, Industrial Area, Chattogram",Chattogram,Chattogram,Janata Bank PLC
45,BD,Delta Seafood Ltd. 045,"Plot 45, Industrial Area, Cumilla",Cumilla,Cumilla,Janata Bank PLC
46,BD,Eastern Textiles Ltd. 046,"Plot 46, Industrial Area, Khulna",Khulna,Khulna,BRAC Bank PLC
47,BD,Northern Leather Works 047,"Plot 47, Industrial Area, Jashore",Jashore,Jashore,Janata Bank PLC
48,BD,Golden Trading Co. 048,"Plot 48, Industrial Area, Sylhet",Sylhet,Sylhet,Eastern Bank PLC
49,BD,Prime Knitwear Ltd. 049,"Plot 49, Industrial Area, Mymensingh",Mymensingh,Mymensingh,Prime Bank PLC
50,BD,Metro Agro Exports 050,"Plot 50, Industrial Area, Rangpur",Rangpur,Rangpur,BRAC Bank PLC
51,BD,Bengal Apparel Ltd. 051,"Plot 51, Industrial Area, Dhaka",Dhaka,Dhaka,BRAC Bank PLC
52,BD,Padma Jute Industries 052,"Plot 52, Industrial Area, Gazipur",Gazipur,Gazipur,Eastern Bank PLC
53,BD,Meghna Seafood Ltd. 053,"Plot 53, Industrial Area, Narayanganj",Narayanganj,Narayanganj,BRAC Bank PLC
54,BD,Jamuna Textiles Ltd. 054,"Plot 54, Industrial Area, Chattogram",Chattogram,Chattogram,City Bank PLC
55,BD,Delta Leather Works 055,"Plot 55, Industrial Area, Cumilla",Cumilla,Cumilla,Sonali Bank PLC
56,BD,Eastern Trading Co. 056,"Plot 56, Industrial Area, Khulna",Khulna,Khulna,Sonali Bank PLC
57,BD,Northern Knitwear Ltd. 057,"Plot 57, Industrial Area, Jashore",Jashore,Jashore,BRAC Bank PLC
58,BD,Golden Agro Exports 058,"Plot 58, Industrial Area, Sylhet",Sylhet,Sylhet,City Bank PLC
59,BD,Prime Apparel Ltd. 059,"Plot 59, Industrial Area, Mymensingh",Mymensingh,Mymensingh,Sonali Bank PLC
60,BD,Metro Jute Industries 060,"Plot 60, Industrial Area, Rangpur",Rangpur,Rangpur,Eastern Bank PLC
61,BD,Bengal Seafood Ltd. 061,"Plot 61, Industrial Area, Dhaka",Dhaka,Dhaka,Sonali Bank PLC
62,BD,Padma Textiles Ltd. 062,"Plot 62, Industrial Area, Gazipur",Gazipur,Gazipur,Eastern Bank PLC
63,BD,Meghna Leather Works 063,"Plot 63, Industrial Area, Narayanganj",Narayanganj,Narayanganj,Eastern Bank PLC
64,BD,Jamuna Trading Co. 064,"Plot 64, Industrial Area, Chattogram",Chattogram,Chattogram,Prime Bank PLC
65,BD,Delta Knitwear Ltd. 065,"Plot 65, Industrial Area, Cumilla",Cumilla,Cumilla,Janata Bank PLC
66,BD,Eastern Agro Exports 066,"Plot 66, Industrial Area, Khulna",Khulna,Khulna,City Bank PLC
67,BD,Northern Apparel Ltd. 067,"Plot 67, Industrial Area, Jashore",Jashore,Jashore,Prime Bank PLC
68,BD,Golden Jute Industries 068,"Plot 68, Industrial Area, Sylhet",Sylhet,Sylhet,Sonali Bank PLC
69,BD,Prime Seafood Ltd. 069,"Plot 69, Industrial Area, Mymensingh",Mymensingh,Mymensingh,Sonali Bank PLC
70,BD,Metro Textiles Ltd. 070,"Plot 70, Industrial Area, Rangpur",Rangpur,Rangpur,Eastern Bank PLC
71,BD,Bengal Leather Works 071,"Plot 71, Industrial Area, Dhaka",Dhaka,Dhaka,Prime Bank PLC
72,BD,Padma Trading Co. 072,"Plot 72, Industrial Area, Gazipur",Gazipur,Gazipur,BRAC Bank PLC
73,BD,Meghna Knitwear Ltd. 073,"Plot 73, Industrial Area, Narayanganj",Narayanganj,Narayanganj,Janata Bank PLC
74,BD,Jamuna Agro Exports 074,"Plot 74, Industrial Area, Chattogram",Chattogram,Chattogram,BRAC Bank PLC
75,BD,Delta Apparel Ltd. 075,"Plot 75, Industrial Area, Cumilla",Cumilla,Cumilla,BRAC Bank PLC
76,BD,Eastern Jute Industries 076,"Plot 76, Industrial Area, Khulna",Khulna,Khulna,City Bank PLC
77,BD,Northern Seafood Ltd. 077,"Plot 77, Industrial Area, Jashore",Jashore,Jashore,City Bank PLC
78,BD,Golden Textiles Ltd. 078,"Plot 78, Industrial Area, Sylhet",Sylhet,Sylhet,Prime Bank PLC
79,BD,Prime Leather Works 079,"Plot 79, Industrial Area, Mymensingh",Mymensingh,Mymensingh,Eastern Bank PLC
80,BD,Metro Trading Co. 080,"Plot 80, Industrial Area, Rangpur",Rangpur,Rangpur,Janata Bank PLC
