transaction_id,exporter_id,buyer_id,product_id,declarant_id,commodity_id,transaction_date,no_of_packages,gross_weight_kg,net_weight_kg,quantity,unit,total_value_usd,total_value_bdt,currency,exchange_rate,delivery_terms,mode_of_transport,month,year
1,50,106,11,29,18,2026-05-18,213,9349.15,8930.59,16335,pcs,16855.27,2028868.8499,USD,120.37,FCA,Sea,5,2026
2,44,89,23,38,14,2024-10-28,431,20910.32,19761.87,19223,pcs,340032.97,40266704.307399996,USD,118.42,CIF,Air,10,2024
3,11,87,48,2,8,2024-04-25,197,2176.06,2023.98,9905,kg,226532.51,27858968.079800002,USD,122.98,CIF,Sea,4,2024
4,38,36,16,10,12,2024-05-12,630,12703.14,11905.82,21684,kg,339949.59,40793950.800000004,USD,120,CIF,Sea,5,2024
5,75,41,17,28,1,2026-08-18,80,8096.47,7848.84,9445,kg,203730.67,24885701.3405,USD,122.15,FCA,Sea,8,2026
6,36,1,10,37,16,2025-03-24,82,3897.16,3744.72,9160,pcs,88365.43,10587062.1683,USD,119.81,CIF,Sea,3,2025
7,43,25,3,25,14,2026-08-16,143,13631.73,12396.52,15569,pcs,110863.02,13619522.007,USD,122.85,EXW,Air,8,2026
8,46,66,6,9,10,2025-05-04,116,4530.8,4395.54,11606,kg,341835.22,41406500.198599994,USD,121.13,FCA,Sea,5,2025
9,64,33,58,26,25,2024-01-14,225,9277.2,9087.23,22352,pcs,138069.92,16953605.476800002,USD,122.79,CIF,Sea,1,2024
10,52,83,32,31,19,2024-09-30,147,17596.13,16183.86,15115,pcs,121113.05,14743091.5765,USD,121.73,CFR,Sea,9,2024
11,64,47,52,32,19,2025-09-10,28,2237.91,2112.24,2323,pcs,27209.93,3350358.6809,USD,123.13,FOB,Sea,9,2025
12,16,72,49,3,11,2024-02-01,95,4407.16,4023.45,5114,kg,27507.77,3352647.0076,USD,121.88,FCA,Road,2,2024
13,47,23,10,6,16,2026-05-15,211,20518.77,20095.1,21930,pcs,291334.18,34476486.8612,USD,118.34,FCA,Sea,5,2026
