expenditure_id,area_id,survey_year,locality,indicator_id,expenditure_category,value
1,1,2022,National,32,Total,31500
2,1,2022,National,33,Total,30603
3,1,2022,Rural,32,Total,26842
4,1,2022,Rural,33,Total,26207
5,1,2022,Urban,32,Total,41424
6,1,2022,Urban,33,Total,39971
7,1,2016,National,32,Total,15715
8,1,2016,National,33,Total,15420
9,1,2016,Rural,32,Total,14156
10,1,2016,Rural,33,Total,13868
11,1,2016,Urban,32,Total,19697
12,1,2016,Urban,33,Total,19383
13,1,2022,National,34,Food,14003
14,1,2022,National,35,Food,45.76
15,1,2022,National,34,Non-food total,16599.07
16,1,2022,National,35,Non-food total,54.24
17,1,2022,National,34,Clothing & footwear,2062.64
18,1,2022,National,35,Clothing & footwear,6.74
19,1,2022,National,34,Housing & house rent,3136.81
20,1,2022,National,35,Housing & house rent,10.25
21,1,2022,National,34,Fuel & lighting,1606.66
22,1,2022,National,35,Fuel & lighting,5.25
23,1,2022,National,34,Household effect,670.21
24,1,2022,National,35,Household effect,2.19
25,1,2022,National,34,Medical,2114.67
26,1,2022,National,35,Medical,6.91
27,1,2022,National,34,Education,850.76
28,1,2022,National,35,Education,2.78
29,1,2022,National,34,Miscellaneous,6154.26
30,1,2022,National,35,Miscellaneous,20.11
31,1,2022,Rural,34,Food,13125
32,1,2022,Rural,35,Food,50.08
33,1,2022,Rural,34,Non-food total,13082.53
34,1,2022,Rural,35,Non-food total,49.92
35,1,2022,Rural,34,Clothing & footwear,1779.46
36,1,2022,Rural,35,Clothing & footwear,6.79
37,1,2022,Rural,34,Housing & house rent,2287.87
38,1,2022,Rural,35,Housing & house rent,8.73
39,1,2022,Rural,34,Fuel & lighting,1352.28
40,1,2022,Rural,35,Fuel & lighting,5.16
41,1,2022,Rural,34,Household effect,592.28
42,1,2022,Rural,35,Household effect,2.26
43,1,2022,Rural,34,Medical,1905.25
44,1,2022,Rural,35,Medical,7.27
45,1,2022,Rural,34,Education,568.69
46,1,2022,Rural,35,Education,2.17
47,1,2022,Rural,34,Miscellaneous,4594.09
48,1,2022,Rural,35,Miscellaneous,17.53
49,1,2022,Urban,34,Food,15875
50,1,2022,Urban,35,Food,39.72
51,1,2022,Urban,34,Non-food total,24094.52
52,1,2022,Urban,35,Non-food total,60.28
53,1,2022,Urban,34,Clothing & footwear,2670.06
54,1,2022,Urban,35,Clothing & footwear,6.68
55,1,2022,Urban,34,Housing & house rent,4948.41
56,1,2022,Urban,35,Housing & house rent,12.38
57,1,2022,Urban,34,Fuel & lighting,2150.44
58,1,2022,Urban,35,Fuel & lighting,5.38
59,1,2022,Urban,34,Household effect,835.39
60,1,2022,Urban,35,Household effect,2.09
61,1,2022,Urban,34,Medical,2558.14
62,1,2022,Urban,35,Medical,6.4
