household_structure_id,area_id,year,household_type,indicator_id,value
1,1,2011,All households,10,32173630
2,1,2011,All households,13,4
3,2,2011,All households,10,1862841
4,2,2011,All households,13,4
5,3,2011,All households,10,5626310
6,3,2011,All households,13,5
7,4,2011,All households,10,10849315
8,4,2011,All households,13,4
9,5,2011,All households,10,3739779
10,5,2011,All households,13,4
11,7,2011,All households,10,4486829
12,7,2011,All households,13,4
13,8,2011,All households,10,3817664
14,8,2011,All households,13,4
15,9,2011,All households,10,1790892
16,9,2011,All households,13,5
17,1,2022,All households,10,41010051
18,1,2022,All households,11,165158616
19,1,2022,All households,12,100
20,1,2022,All households,13,4
21,2,2022,All households,10,2219801
22,2,2022,All households,11,9100102
23,2,2022,All households,12,100
24,2,2022,All households,13,4
25,3,2022,All households,10,7528333
26,3,2022,All households,11,33202326
27,3,2022,All households,12,100
28,3,2022,All households,13,4
29,4,2022,All households,10,11628899
30,4,2022,All households,11,44215107
31,4,2022,All households,12,100
32,4,2022,All households,13,3
33,5,2022,All households,10,4501091
34,5,2022,All households,11,17416645
35,5,2022,All households,12,100
36,5,2022,All households,13,3
37,6,2022,All households,10,3057546
38,6,2022,All households,11,12225498
39,6,2022,All households,12,100
40,6,2022,All households,13,4
41,7,2022,All households,10,5371729
42,7,2022,All households,11,20353119
43,7,2022,All households,12,100
44,7,2022,All households,13,3
45,8,2022,All households,10,4488995
46,8,2022,All households,11,17610956
47,8,2022,All households,12,100
48,8,2022,All households,13,3
49,9,2022,All households,10,2213657
50,9,2022,All households,11,11034863
51,9,2022,All households,12,100
52,9,2022,All households,13,5
53,1,2022,Rural households,10,27820341
54,1,2022,Rural households,11,113063587
55,1,2022,Rural households,12,68.46
56,1,2022,Rural households,13,4
57,1,2022,Urban households,10,13189710
58,1,2022,Urban households,11,52009072
59,1,2022,Urban households,12,31.49
60,1,2022,Urban households,13,3
61,2,2022,Rural households,10,1664051
62,2,2022,Rural households,11,6809844
63,2,2022,Rural households,12,74.83
64,2,2022,Rural households,13,4
65,2,2022,Urban households,10,555750
66,2,2022,Urban households,11,2285890
67,2,2022,Urban households,12,25.12
68,2,2022,Urban households,13,4
69,3,2022,Rural households,10,4923297
70,3,2022,Rural households,11,22011712
71,3,2022,Rural households,12,66.3
72,3,2022,Rural households,13,4
73,3,2022,Urban households,10,2605036
74,3,2022,Urban households,11,11175026
75,3,2022,Urban households,12,33.66
76,3,2022,Urban households,13,4
77,4,2022,Rural households,10,6023100
78,4,2022,Rural households,11,23447216
79,4,2022,Rural households,12,53.03
80,4,2022,Rural households,13,3
81,4,2022,Urban households,10,5605799
82,4,2022,Urban households,11,20738739
83,4,2022,Urban households,12,46.9
84,4,2022,Urban households,13,3
85,5,2022,Rural households,10,3383402
86,5,2022,Rural households,11,13097250
87,5,2022,Rural households,12,75.2
88,5,2022,Rural households,13,3
89,5,2022,Urban households,10,1117689
90,5,2022,Urban households,11,4310566
91,5,2022,Urban households,12,24.75
92,5,2022,Urban households,13,3
93,6,2022,Rural households,10,2385120
94,6,2022,Rural households,11,9489451
95,6,2022,Rural households,12,77.62
96,6,2022,Rural households,13,4
97,6,2022,Urban households,10,672426
98,6,2022,Urban households,11,2730260
99,6,2022,Urban households,12,22.33
100,6,2022,Urban households,13,4
101,7,2022,Rural households,10,4127198
102,7,2022,Rural households,11,15506337
103,7,2022,Rural households,12,76.19
104,7,2022,Rural households,13,3
105,7,2022,Urban households,10,1244531
106,7,2022,Urban households,11,4840528
107,7,2022,Urban households,12,23.78
108,7,2022,Urban households,13,3
109,8,2022,Rural households,10,3530571
110,8,2022,Rural households,11,13738138
111,8,2022,Rural households,12,78.01
112,8,2022,Rural households,13,3
113,8,2022,Urban households,10,958424
114,8,2022,Urban households,11,3862940
115,8,2022,Urban households,12,21.93
116,8,2022,Urban households,13,4
117,9,2022,Rural households,10,1783602
118,9,2022,Rural households,11,8963639
119,9,2022,Rural households,12,81.23
120,9,2022,Rural households,13,5
121,9,2022,Urban households,10,430055
122,9,2022,Urban households,11,2065123
123,9,2022,Urban households,12,18.71
124,9,2022,Urban households,13,4
125,1,2022,Slum household,10,507486
126,1,2022,Slum household,11,1800486
127,1,2022,Slum household,12,1.09
128,1,2022,Slum household,13,3.55
129,1,2022,Floating household,10,19134
130,1,2022,Floating household,11,22185
131,1,2022,Floating household,12,0.013
132,1,2022,Floating household,13,1.16
133,1,2022,Other household,10,40483431
134,1,2022,Other household,11,163335945
135,1,2022,Other household,12,98.896
136,1,2022,Other household,13,4.03
137,2,2022,Slum household,10,10009
138,2,2022,Slum household,11,38877
139,2,2022,Slum household,12,0.427
140,2,2022,Slum household,13,3.88
141,2,2022,Floating household,10,1070
142,2,2022,Floating household,11,2181
143,2,2022,Floating household,12,0.024
144,2,2022,Floating household,13,2.04
145,2,2022,Other household,10,2208722
146,2,2022,Other household,11,9059044
147,2,2022,Other household,12,99.549
148,2,2022,Other household,13,4.1
149,3,2022,Slum household,10,110857
150,3,2022,Slum household,11,424179
151,3,2022,Slum household,12,1.278
152,3,2022,Slum household,13,3.83
153,3,2022,Floating household,10,4529
154,3,2022,Floating household,11,5221
155,3,2022,Floating household,12,0.016
156,3,2022,Floating household,13,1.15
157,3,2022,Other household,10,7412947
158,3,2022,Other household,11,32772926
159,3,2022,Other household,12,98.707
160,3,2022,Other household,13,4.42
161,4,2022,Slum household,10,269513
162,4,2022,Slum household,11,884496
163,4,2022,Slum household,12,2
164,4,2022,Slum household,13,3.28
165,4,2022,Floating household,10,8676
166,4,2022,Floating household,11,9470
167,4,2022,Floating household,12,0.021
168,4,2022,Floating household,13,1.09
169,4,2022,Other household,10,11350710
170,4,2022,Other household,11,43321141
