housing_id,area_id,year,indicator_id,dwelling_type,value
1,1,2022,28,Dwelling units - Total,35990951
2,1,2022,28,Dwelling units - Rural,27811667
3,1,2022,28,Dwelling units - Urban,8179284
4,2,2022,28,Dwelling units - Total,2034638
5,2,2022,28,Dwelling units - Rural,1585451
6,2,2022,28,Dwelling units - Urban,449187
7,3,2022,28,Dwelling units - Total,6450133
8,3,2022,28,Dwelling units - Rural,4798755
9,3,2022,28,Dwelling units - Urban,1651378
10,4,2022,28,Dwelling units - Total,8119205
11,4,2022,28,Dwelling units - Rural,5799998
12,4,2022,28,Dwelling units - Urban,2319207
13,5,2022,28,Dwelling units - Total,4303563
14,5,2022,28,Dwelling units - Rural,3407059
15,5,2022,28,Dwelling units - Urban,896504
16,6,2022,28,Dwelling units - Total,3062378
17,6,2022,28,Dwelling units - Rural,2473786
18,6,2022,28,Dwelling units - Urban,588592
19,7,2022,28,Dwelling units - Total,5128861
20,7,2022,28,Dwelling units - Rural,4107964
21,7,2022,28,Dwelling units - Urban,1020897
22,8,2022,28,Dwelling units - Total,5007156
23,8,2022,28,Dwelling units - Rural,4049887
24,8,2022,28,Dwelling units - Urban,957269
25,9,2022,28,Dwelling units - Total,1885017
26,9,2022,28,Dwelling units - Rural,1588767
27,9,2022,28,Dwelling units - Urban,296250
