idp_id,district_id,year,stock_displacement,flow_displacement,conflict_displaced,disaster_displaced
1,1,2023,17566,8269,774,7495
2,1,2024,17232,5118,539,4579
3,1,2025,16778,10008,946,9062
4,2,2023,8495,1051,39,1012
5,2,2024,18911,9891,183,9708
6,2,2025,13907,10419,442,9977
7,3,2023,11144,2228,76,2152
8,3,2024,6835,2474,163,2311
9,3,2025,20530,4167,486,3681
10,4,2023,4604,7208,622,6586
11,4,2024,13270,7999,233,7766
12,4,2025,16784,2674,88,2586
13,5,2023,19057,2559,47,2512
14,5,2024,20408,2535,113,2422
15,5,2025,9959,1364,28,1336
16,6,2023,8166,990,37,953
17,6,2024,16289,6826,614,
18,6,2025,7068,816,75,741
19,7,2023,18955,8607,315,8292
20,7,2024,2436,3644,128,3516
21,7,2025,15616,5200,345,4855
22,8,2023,18793,6533,113,6420
23,8,2024,10866,11414,1367,10047
24,8,2025,18785,3371,235,3136
25,9,2023,5196,10318,886,9432
26,9,2024,14364,2974,215,2759
27,9,2025,9115,10652,1121,9531
28,10,2023,4796,4557,111,4446
29,10,2024,5565,8533,440,8093
30,10,2025,3564,6893,666,6227
31,11,2023,5467,3761,290,3471
32,11,2024,16886,3834,110,3724
33,11,2025,15083,5720,282,5438
34,12,2023,16276,2462,166,2296
35,12,2024,14115,5022,476,4546
36,12,2025,19942,6966,522,6444
37,13,2023,1765,7456,566,6890
38,13,2024,2355,1321,38,1283
39,13,2025,1248,8071,91,7980
40,14,2023,8365,10352,460,9892
41,14,2024,6409,8563,,7538
42,14,2025,7462,10563,858,9705
43,15,2023,3904,6102,189,5913
44,15,2024,18227,8766,494,8272
45,15,2025,936,4306,490,3816
46,16,2023,8832,8424,524,7900
47,16,2024,1543,2923,266,2657
48,16,2025,2137,2096,187,1909
49,17,2023,10127,6621,348,6273
50,17,2024,6311,9909,732,9177
51,17,2025,2743,954,90,864
52,18,2023,17899,10300,156,10144
53,18,2024,11576,4321,256,4065
54,18,2025,8472,6073,292,5781
55,19,2023,8343,4185,437,3748
56,19,2024,2536,7015,514,6501
57,19,2025,14759,10634,666,9968
58,20,2023,14988,11003,223,10780
59,20,2024,4258,1188,55,1133
60,20,2025,9850,187,10,177
61,21,2023,19769,715,53,662
62,21,2024,5927,5847,164,5683
63,21,2025,3424,3147,231,2916
64,22,2023,10977,3715,383,3332
65,22,2024,21979,7056,830,6226
66,22,2025,16813,1253,14,1239
67,23,2023,10323,6936,517,6419
68,23,2024,11634,4706,54,4652
69,23,2025,6203,3791,410,3381
70,24,2023,2707,7698,512,7186
71,24,2024,8343,10978,835,10143
72,24,2025,3447,6676,363,6313
73,25,2023,4702,8865,403,8462
74,25,2024,13529,11768,656,11112
75,25,2025,15602,4190,351,3839
76,26,2023,19259,411,31,380
77,26,2024,13624,1621,104,1517
78,26,2025,12453,7575,271,7304
79,27,2023,19676,11307,286,11021
80,27,2024,6723,6397,316,6081
81,27,2025,16659,2776,100,2676
82,28,2023,8653,6991,531,6460
83,28,2024,9311,6968,623,6345
84,28,2025,12380,9048,424,8624
85,29,2023,9307,4442,496,3946
86,29,2024,8303,5816,509,5307
87,29,2025,5610,10029,771,9258
88,30,2023,5241,9708,116,9592
89,30,2024,1804,11239,1000,10239
90,30,2025,14953,7097,136,6961
91,31,2023,16118,5038,467,4571
92,31,2024,6010,8805,479,8326
93,31,2025,20236,7322,411,6911
94,32,2023,16899,1903,175,1728
95,32,2024,17461,934,19,915
96,32,2025,15545,8844,819,8025
97,33,2023,18845,5485,411,5074
98,33,2024,5607,4705,193,4512
99,33,2025,2325,3940,174,3766
100,34,2023,3836,4485,518,3967
101,34,2024,9483,7542,212,7330
102,34,2025,12368,8064,261,7803
103,35,2023,270,4491,310,4181
104,35,2024,18341,6457,377,6080
105,35,2025,,10902,768,10134
106,36,2023,18670,192,14,178
107,36,2024,18369,3243,381,2862
108,36,2025,14511,9206,399,8807
109,37,2023,20718,3934,101,3833
110,37,2024,1700,7341,289,7052
111,37,2025,8422,6320,441,5879
112,38,2023,20703,5595,193,5402
113,38,2024,15952,4969,176,4793
114,38,2025,10403,10238,202,10036
115,39,2023,17935,2528,134,2394
116,39,2024,14090,1564,83,1481
117,39,2025,10859,10872,1102,9770
118,40,2023,288,6787,665,6122
119,40,2024,7474,7270,336,6934
120,40,2025,13126,10629,200,10429
121,41,2023,11494,5228,527,4701
122,41,2024,15667,10092,683,9409
123,41,2025,12941,4518,174,4344
124,42,2023,7080,6760,183,6577
125,42,2024,4860,2920,165,2755
126,42,2025,2381,1440,28,1412
127,43,2023,19000,1498,171,1327
128,43,2024,7008,9440,1023,8417
129,43,2025,1769,3839,400,3439
130,44,2023,16138,6851,291,6560
131,44,2024,7729,8528,335,8193
132,44,2025,2819,8696,778,7918
133,45,2023,16876,4041,432,3609
134,45,2024,4704,5459,518,4941
135,45,2025,3983,1623,107,1516
136,46,2023,18986,9937,648,9289
137,46,2024,12742,529,27,502
138,46,2025,7055,7891,716,7175
139,47,2023,14437,6090,727,5363
140,47,2024,18919,4238,87,4151
141,47,2025,12259,2411,210,2201
142,48,2023,8656,8848,997,7851
143,48,2024,2842,1595,34,1561
144,48,2025,21802,10929,833,10096
145,49,2023,15296,2830,214,2616
146,49,2024,13724,856,12,844
147,49,2025,4556,4205,202,4003
148,50,2023,2960,8521,389,8132
149,50,2024,3171,8946,187,8759
150,50,2025,2320,10789,261,10528
151,51,2023,3231,8036,369,7667
152,51,2024,17002,7002,535,6467
153,51,2025,15965,11726,1230,10496
154,52,2023,6853,9878,1060,8818
155,52,2024,19501,10056,570,9486
156,52,2025,9053,2549,42,2507
157,53,2023,9600,7614,575,7039
158,53,2024,12480,8434,429,8005
159,53,2025,8944,8642,726,7916
160,54,2023,13153,3971,117,3854
161,54,2024,21864,3143,88,3055
162,54,2025,18659,7634,576,7058
