import_id,product_id,origin_country,import_date,importer_name,quantity,total_value_usd,delivery_terms,mode_of_transport
1,21,QA,2025-09-23,Bangladesh Import & Supply Co. 20,33079,453842.32,FOB,Air
2,18,ES,2024-02-26,Bangladesh Import & Supply Co. 18,12242,291656.46,CIF,Sea
3,48,SE,2025-03-04,Bangladesh Import & Supply Co. 24,21338,312547.4,CFR,Sea
4,40,DE,2024-05-26,Bangladesh Import & Supply Co. 10,9976,141266.28,CIF,Road
5,58,BR,2024-11-25,Bangladesh Import & Supply Co. 33,11200,124293.32,CFR,Sea
6,50,MY,2025-09-13,Bangladesh Import & Supply Co. 19,23284,182992.11,FOB,Road
7,25,SE,2024-06-22,Bangladesh Import & Supply Co. 14,31045,196285.29,CIF,Sea
8,52,FR,2026-04-14,Bangladesh Import & Supply Co. 36,20700,141596.76,FOB,Sea
9,35,NZ,2025-04-30,Bangladesh Import & Supply Co. 37,14668,174032.6,FOB,Sea
10,44,CH,2024-05-28,Bangladesh Import & Supply Co. 20,22695,514956.1,CFR,Road
11,17,BE,2025-06-22,Bangladesh Import & Supply Co. 19,19922,253832.6,CFR,Road
12,24,AU,2025-10-03,Bangladesh Import & Supply Co. 34,1926,25584.44,FOB,Road
13,37,NZ,2024-01-30,Bangladesh Import & Supply Co. 03,22305,79349.04,EXW,Road
14,57,NP,2025-07-30,Bangladesh Import & Supply Co. 40,23549,287151.35,EXW,Sea
15,1,SG,2026-04-16,Bangladesh Import & Supply Co. 20,10347,61255.11,CIF,Sea
16,48,IN,2024-10-26,Bangladesh Import & Supply Co. 34,27235,145764.28,CIF,Sea
17,49,AE,2024-07-06,Bangladesh Import & Supply Co. 38,27655,425396.71,CFR,Road
18,44,US,2025-02-02,Bangladesh Import & Supply Co. 01,12323,212719.1,FOB,Air
19,17,IN,2025-01-27,Bangladesh Import & Supply Co. 31,34431,133431.19,FOB,Sea
20,25,US,2025-04-21,Bangladesh Import & Supply Co. 24,7973,64785.16,CFR,Sea
