inequality_id,area_id,survey_year,locality,indicator_id,population_group,value
1,1,2022,National,40,Lower 5%,0.37
2,1,2022,National,40,Decile 1,1.31
3,1,2022,National,40,Decile 2,2.86
4,1,2022,National,40,Decile 3,3.88
5,1,2022,National,40,Decile 4,4.82
6,1,2022,National,40,Decile 5,5.81
7,1,2022,National,40,Decile 6,6.92
8,1,2022,National,40,Decile 7,8.36
9,1,2022,National,40,Decile 8,10.49
10,1,2022,National,40,Decile 9,14.62
11,1,2022,National,40,Decile 10,40.92
12,1,2022,National,40,Top 5%,30.04
13,1,2022,Rural,40,Lower 5%,0.37
14,1,2022,Rural,40,Decile 1,1.41
15,1,2022,Rural,40,Decile 2,3.17
16,1,2022,Rural,40,Decile 3,4.4
17,1,2022,Rural,40,Decile 4,5.49
18,1,2022,Rural,40,Decile 5,6.62
19,1,2022,Rural,40,Decile 6,7.85
20,1,2022,Rural,40,Decile 7,9.32
21,1,2022,Rural,40,Decile 8,11.49
22,1,2022,Rural,40,Decile 9,15.32
23,1,2022,Rural,40,Decile 10,34.95
24,1,2022,Rural,40,Top 5%,24.22
25,1,2022,Urban,40,Lower 5%,0.48
26,1,2022,Urban,40,Decile 1,1.45
27,1,2022,Urban,40,Decile 2,2.61
28,1,2022,Urban,40,Decile 3,3.41
29,1,2022,Urban,40,Decile 4,4.17
30,1,2022,Urban,40,Decile 5,5.06
31,1,2022,Urban,40,Decile 6,6.12
32,1,2022,Urban,40,Decile 7,7.55
33,1,2022,Urban,40,Decile 8,9.87
34,1,2022,Urban,40,Decile 9,14.52
35,1,2022,Urban,40,Decile 10,45.23
36,1,2022,Urban,40,Top 5%,33.48
37,1,2016,National,40,Lower 5%,0.23
38,1,2016,National,40,Decile 1,1.01
39,1,2016,National,40,Decile 2,2.83
40,1,2016,National,40,Decile 3,4.04
41,1,2016,National,40,Decile 4,5.13
42,1,2016,National,40,Decile 5,6.23
43,1,2016,National,40,Decile 6,7.51
44,1,2016,National,40,Decile 7,9.12
45,1,2016,National,40,Decile 8,11.13
46,1,2016,National,40,Decile 9,14.84
47,1,2016,National,40,Decile 10,38.16
48,1,2016,National,40,Top 5%,27.89
49,1,2016,Rural,40,Lower 5%,0.25
50,1,2016,Rural,40,Decile 1,1.06
51,1,2016,Rural,40,Decile 2,3
52,1,2016,Rural,40,Decile 3,4.33
53,1,2016,Rural,40,Decile 4,5.47
54,1,2016,Rural,40,Decile 5,6.63
55,1,2016,Rural,40,Decile 6,7.95
56,1,2016,Rural,40,Decile 7,9.44
57,1,2016,Rural,40,Decile 8,11.78
58,1,2016,Rural,40,Decile 9,15.49
59,1,2016,Rural,40,Decile 10,34.84
60,1,2016,Rural,40,Top 5%,24.25
61,1,2016,Urban,40,Lower 5%,0.27
62,1,2016,Urban,40,Decile 1,1.16
63,1,2016,Urban,40,Decile 2,2.99
64,1,2016,Urban,40,Decile 3,4.18
65,1,2016,Urban,40,Decile 4,4.99
66,1,2016,Urban,40,Decile 5,5.91
67,1,2016,Urban,40,Decile 6,7.17
68,1,2016,Urban,40,Decile 7,8.35
69,1,2016,Urban,40,Decile 8,10.49
70,1,2016,Urban,40,Decile 9,13.31
71,1,2016,Urban,40,Decile 10,41.44
72,1,2016,Urban,40,Top 5%,32.12
73,1,2022,National,41,All households,0.499
74,1,2022,Rural,41,All households,0.446
75,1,2022,Urban,41,All households,0.539
76,1,2016,National,41,All households,0.482
77,1,2016,Rural,41,All households,0.454
78,1,2016,Urban,41,All households,0.498
79,1,2022,National,42,All households,0.334
80,1,2022,Rural,42,All households,0.291
81,1,2022,Urban,42,All households,0.356
82,1,2016,National,42,All households,0.324
83,1,2016,Rural,42,All households,0.3
84,1,2016,Urban,42,All households,0.33
