marital_id,area_id,year,marital_status,indicator_id,value
1,1,2022,Never married,15,28
2,1,2022,Currently married,15,65
3,1,2022,Widowed/Widower,15,5
4,1,2022,Divorced,15,0
5,1,2022,Separated,15,0
6,2,2022,Never married,15,27
7,2,2022,Currently married,15,66
8,2,2022,Widowed/Widower,15,5
9,2,2022,Divorced,15,0
10,2,2022,Separated,15,0
11,3,2022,Never married,15,32
12,3,2022,Currently married,15,61
13,3,2022,Widowed/Widower,15,5
14,3,2022,Divorced,15,0
15,3,2022,Separated,15,0
16,4,2022,Never married,15,28
17,4,2022,Currently married,15,65
18,4,2022,Widowed/Widower,15,4
19,4,2022,Divorced,15,0
20,4,2022,Separated,15,0
21,5,2022,Never married,15,24
22,5,2022,Currently married,15,68
23,5,2022,Widowed/Widower,15,5
24,5,2022,Divorced,15,0
25,5,2022,Separated,15,0
26,6,2022,Never married,15,27
27,6,2022,Currently married,15,65
28,6,2022,Widowed/Widower,15,5
29,6,2022,Divorced,15,0
30,6,2022,Separated,15,0
31,7,2022,Never married,15,24
32,7,2022,Currently married,15,68
33,7,2022,Widowed/Widower,15,5
34,7,2022,Divorced,15,0
35,7,2022,Separated,15,0
36,8,2022,Never married,15,25
37,8,2022,Currently married,15,67
38,8,2022,Widowed/Widower,15,5
39,8,2022,Divorced,15,0
40,8,2022,Separated,15,0
41,9,2022,Never married,15,37
42,9,2022,Currently married,15,55
43,9,2022,Widowed/Widower,15,5
44,9,2022,Divorced,15,0
45,9,2022,Separated,15,0
