migration_id,area_id,year,indicator_id,origin_area_id,destination_area_id,migration_reason,sex,value
1,1,2023,22,,,Family dependency,Male,38
2,1,2023,22,,,Family dependency,Female,45
3,1,2023,22,,,Marriage,Female,43.5
4,1,2023,22,,,Marriage,Male,2.9
5,1,2023,22,,,Work/employment,Male,26.3
6,1,2023,22,,,Work/employment,Female,3.5
7,1,2023,23,,,Worker (employment),All,92.04
8,1,2023,23,,,Professional employment,All,4.56
9,1,2023,23,,,Education,All,1.3
10,1,2023,23,,,House keeper employment,All,0.93
11,1,2023,23,,,Living with family,All,0.82
12,1,2023,23,,,Others,All,0.34
13,2,2023,23,,,Share of international migrants,All,2.42
14,3,2023,23,,,Share of international migrants,All,46.55
15,4,2023,23,,,Share of international migrants,All,27.17
16,5,2023,23,,,Share of international migrants,All,6.26
17,6,2023,23,,,Share of international migrants,All,2.27
18,7,2023,23,,,Share of international migrants,All,5.01
19,8,2023,23,,,Share of international migrants,All,1.17
20,9,2023,23,,,Share of international migrants,All,9.15
