population_id,area_id,year,population_category_id,population_count
1,1,2022,1,165158616
2,1,2022,2,81712824
3,1,2022,3,83347206
4,1,2022,4,12629
5,1,2022,5,113063587
6,1,2022,6,52009072
7,1,2022,7,1800486
8,1,2022,8,22185
9,2,2022,1,9100102
10,2,2022,2,4436750
11,2,2022,3,4658421
12,2,2022,4,563
13,2,2022,5,6809844
14,2,2022,6,2285890
15,2,2022,7,38877
16,2,2022,8,2181
17,3,2022,1,33202326
18,3,2022,2,16024572
19,3,2022,3,17160140
20,3,2022,4,2026
21,3,2022,5,22011712
22,3,2022,6,11175026
23,3,2022,7,424179
24,3,2022,8,5221
25,4,2022,1,44215107
26,4,2022,2,22459822
27,4,2022,3,21721556
28,4,2022,4,4577
29,4,2022,5,23447216
30,4,2022,6,20738739
31,4,2022,7,884496
32,4,2022,8,9470
33,5,2022,1,17416645
34,5,2022,2,8620114
35,5,2022,3,8786554
36,5,2022,4,1148
37,5,2022,5,13097250
38,5,2022,6,4310566
39,5,2022,7,130863
40,5,2022,8,1328
41,6,2022,1,12225498
42,6,2022,2,5984875
43,6,2022,3,6233864
44,6,2022,4,972
45,6,2022,5,9489451
46,6,2022,6,2730260
47,6,2022,7,36491
48,6,2022,8,696
49,7,2022,1,20353119
50,7,2022,2,10079495
51,7,2022,3,10265796
52,7,2022,4,1574
53,7,2022,5,15506337
54,7,2022,6,4840528
55,7,2022,7,65526
56,7,2022,8,1316
57,8,2022,1,17610956
58,8,2022,2,8726521
59,8,2022,3,8873628
60,8,2022,4,929
61,8,2022,5,13738138
62,8,2022,6,3862940
63,8,2022,7,92470
64,8,2022,8,1078
65,9,2022,1,11034863
66,9,2022,2,5380675
67,9,2022,3,5647247
68,9,2022,4,840
69,9,2022,5,8963639
70,9,2022,6,2065123
71,9,2022,7,127584
72,9,2022,8,895
73,10,2022,1,419351
74,10,2022,2,213627
75,10,2022,3,205685
76,10,2022,4,39
77,11,2022,1,3227246
78,11,2022,2,1673627
79,11,2022,3,1553252
80,11,2022,4,367
81,12,2022,1,439414
82,12,2022,2,220248
83,12,2022,3,219119
84,12,2022,4,47
85,13,2022,1,5979537
86,13,2022,2,3260537
87,13,2022,3,2718096
88,13,2022,4,904
89,14,2022,1,4299345
90,14,2022,2,2334858
91,14,2022,3,1963834
92,14,2022,4,653
93,15,2022,1,2674697
94,15,2022,2,1415669
95,15,2022,3,1258633
96,15,2022,4,395
97,16,2022,1,718735
98,16,2022,2,364251
99,16,2022,3,354375
100,16,2022,4,109
101,17,2022,1,576722
102,17,2022,2,293368
103,17,2022,3,283267
104,17,2022,4,87
105,18,2022,1,967724
106,18,2022,2,499854
107,18,2022,3,467771
108,18,2022,4,99
109,19,2022,1,552791
110,19,2022,2,284382
111,19,2022,3,268358
112,19,2022,4,51
113,20,2022,1,708384
114,20,2022,2,360738
115,20,2022,3,347599
