poverty_id,area_id,survey_year,locality,indicator_id,poverty_line_type,household_size_group,value
1,1,2000,National,37,Upper poverty line,All households,48.9
2,1,2000,National,37,Lower poverty line,All households,34.3
3,1,2005,National,37,Upper poverty line,All households,40
4,1,2005,National,37,Lower poverty line,All households,25.1
5,1,2010,National,37,Upper poverty line,All households,31.5
6,1,2010,National,37,Lower poverty line,All households,17.6
7,1,2016,National,37,Upper poverty line,All households,24.3
8,1,2016,National,37,Lower poverty line,All households,12.9
9,1,2022,National,37,Upper poverty line,All households,18.7
10,1,2022,National,37,Lower poverty line,All households,5.6
11,1,2022,Rural,37,Upper poverty line,All households,20.5
12,1,2022,Rural,37,Lower poverty line,All households,6.5
13,1,2022,Urban,37,Upper poverty line,All households,14.7
14,1,2022,Urban,37,Lower poverty line,All households,3.8
15,1,2016,Rural,37,Upper poverty line,All households,26.4
16,1,2016,Rural,37,Lower poverty line,All households,14.9
17,1,2016,Urban,37,Upper poverty line,All households,18.9
18,1,2016,Urban,37,Lower poverty line,All households,7.6
19,1,2010,Rural,37,Upper poverty line,All households,35.2
20,1,2010,Rural,37,Lower poverty line,All households,21.1
21,1,2010,Urban,37,Upper poverty line,All households,21.3
22,1,2010,Urban,37,Lower poverty line,All households,7.7
23,2,2022,Division,37,Upper poverty line,All households,26.9
24,2,2022,Division,37,Lower poverty line,All households,11.8
25,3,2022,Division,37,Upper poverty line,All households,15.8
26,3,2022,Division,37,Lower poverty line,All households,5.1
27,4,2022,Division,37,Upper poverty line,All households,17.9
28,4,2022,Division,37,Lower poverty line,All households,2.8
29,5,2022,Division,37,Upper poverty line,All households,14.8
30,5,2022,Division,37,Lower poverty line,All households,2.9
31,6,2022,Division,37,Upper poverty line,All households,24.2
32,6,2022,Division,37,Lower poverty line,All households,10
33,7,2022,Division,37,Upper poverty line,All households,16.7
34,7,2022,Division,37,Lower poverty line,All households,6.7
35,8,2022,Division,37,Upper poverty line,All households,24.7
36,8,2022,Division,37,Lower poverty line,All households,10
37,9,2022,Division,37,Upper poverty line,All households,17.4
38,9,2022,Division,37,Lower poverty line,All households,4.6
39,1,2022,Total,38,Upper poverty line,All households,3.77
40,1,2022,Rural,38,Upper poverty line,All households,4.15
41,1,2022,Urban,38,Upper poverty line,All households,2.93
42,1,2022,Total,39,Upper poverty line,All households,1.17
43,1,2022,Rural,39,Upper poverty line,All households,1.3
44,1,2022,Urban,39,Upper poverty line,All households,0.89
45,2,2022,Total,38,Upper poverty line,All households,5.84
46,2,2022,Rural,38,Upper poverty line,All households,6.24
47,2,2022,Urban,38,Upper poverty line,All households,4.29
48,2,2022,Total,39,Upper poverty line,All households,1.85
49,2,2022,Rural,39,Upper poverty line,All households,2
50,2,2022,Urban,39,Upper poverty line,All households,1.27
51,3,2022,Total,38,Upper poverty line,All households,3.36
52,3,2022,Rural,38,Upper poverty line,All households,3.81
53,3,2022,Urban,38,Upper poverty line,All households,2.38
54,3,2022,Total,39,Upper poverty line,All households,1.13
55,3,2022,Rural,39,Upper poverty line,All households,1.29
56,3,2022,Urban,39,Upper poverty line,All households,0.8
57,4,2022,Total,38,Upper poverty line,All households,3.74
58,4,2022,Rural,38,Upper poverty line,All households,4.79
59,4,2022,Urban,38,Upper poverty line,All households,2.75
60,4,2022,Total,39,Upper poverty line,All households,1.14
61,4,2022,Rural,39,Upper poverty line,All households,1.53
62,4,2022,Urban,39,Upper poverty line,All households,0.78
63,5,2022,Total,38,Upper poverty line,All households,2.43
64,5,2022,Rural,38,Upper poverty line,All households,2.67
65,5,2022,Urban,38,Upper poverty line,All households,1.62
66,5,2022,Total,39,Upper poverty line,All households,0.69
67,5,2022,Rural,39,Upper poverty line,All households,0.75
68,5,2022,Urban,39,Upper poverty line,All households,0.46
69,6,2022,Total,38,Upper poverty line,All households,4.99
70,6,2022,Rural,38,Upper poverty line,All households,5.33
71,6,2022,Urban,38,Upper poverty line,All households,3.6
72,6,2022,Total,39,Upper poverty line,All households,1.63
73,6,2022,Rural,39,Upper poverty line,All households,1.75
74,6,2022,Urban,39,Upper poverty line,All households,1.14
75,7,2022,Total,38,Upper poverty line,All households,2.99
76,7,2022,Rural,38,Upper poverty line,All households,3.18
77,7,2022,Urban,38,Upper poverty line,All households,2.38
78,7,2022,Total,39,Upper poverty line,All households,0.84
79,7,2022,Rural,39,Upper poverty line,All households,0.92
80,7,2022,Urban,39,Upper poverty line,All households,0.59
81,8,2022,Total,38,Upper poverty line,All households,5.34
82,8,2022,Rural,38,Upper poverty line,All households,4.83
83,8,2022,Urban,38,Upper poverty line,All households,7.57
84,8,2022,Total,39,Upper poverty line,All households,1.71
85,8,2022,Rural,39,Upper poverty line,All households,1.48
86,8,2022,Urban,39,Upper poverty line,All households,2.76
