product_id,hs_code,chapter,heading,sub_heading,description,package_unit
1,610901,61,6109,610901,Cotton knitted T-shirt - Variant 1,Carton
2,620302,62,6203,620302,Men's woven trousers - Variant 2,Carton
3,620403,62,6204,620403,Women's woven garments - Variant 3,Carton
4,630204,63,6302,630204,Cotton bed linen - Variant 4,Carton
5,530305,53,5303,530305,Raw jute fiber - Variant 5,Bale
6,630506,63,6305,630506,Jute sacks and bags - Variant 6,Bale
7,030607,03,0306,030607,Frozen shrimp and prawns - Variant 1,Carton
8,090208,09,0902,090208,Black and green tea - Variant 2,Bag
9,410709,41,4107,410709,Finished leather - Variant 3,Pallet
10,640310,64,6403,640310,Leather footwear - Variant 4,Carton
11,300411,30,3004,300411,Medicaments - Variant 5,Carton
12,392312,39,3923,392312,Plastic packaging articles - Variant 6,Carton
13,871213,87,8712,871213,Bicycles - Variant 1,Unit
14,940314,94,9403,940314,Wooden furniture - Variant 2,Unit
15,691115,69,6911,691115,Ceramic tableware - Variant 3,Carton
16,520516,52,5205,520516,Cotton yarn - Variant 4,Cone
17,100617,10,1006,100617,Rice - Variant 5,Bag
18,160518,16,1605,160518,Processed seafood - Variant 6,Carton
19,200519,20,2005,200519,Processed vegetables - Variant 1,Carton
20,210620,21,2106,210620,Processed food preparations - Variant 2,Carton
21,610921,61,6109,610921,Cotton knitted T-shirt - Variant 3,Carton
22,620322,62,6203,620322,Men's woven trousers - Variant 4,Carton
23,620423,62,6204,620423,Women's woven garments - Variant 5,Carton
24,630224,63,6302,630224,Cotton bed linen - Variant 6,Carton
25,530325,53,5303,530325,Raw jute fiber - Variant 1,Bale
26,630526,63,6305,630526,Jute sacks and bags - Variant 2,Bale
27,030627,03,0306,030627,Frozen shrimp and prawns - Variant 3,Carton
28,090228,09,0902,090228,Black and green tea - Variant 4,Bag
29,410729,41,4107,410729,Finished leather - Variant 5,Pallet
30,640330,64,6403,640330,Leather footwear - Variant 6,Carton
31,300431,30,3004,300431,Medicaments - Variant 1,Carton
32,392332,39,3923,392332,Plastic packaging articles - Variant 2,Carton
33,871233,87,8712,871233,Bicycles - Variant 3,Unit
34,940334,94,9403,940334,Wooden furniture - Variant 4,Unit
35,691135,69,6911,691135,Ceramic tableware - Variant 5,Carton
36,520536,52,5205,520536,Cotton yarn - Variant 6,Cone
37,100637,10,1006,100637,Rice - Variant 1,Bag
38,160538,16,1605,160538,Processed seafood - Variant 2,Carton
39,200539,20,2005,200539,Processed vegetables - Variant 3,Carton
40,210640,21,2106,210640,Processed food preparations - Variant 4,Carton
41,610941,61,6109,610941,Cotton knitted T-shirt - Variant 5,Carton
42,620342,62,6203,620342,Men's woven trousers - Variant 6,Carton
43,620443,62,6204,620443,Women's woven garments - Variant 1,Carton
44,630244,63,6302,630244,Cotton bed linen - Variant 2,Carton
45,530345,53,5303,530345,Raw jute fiber - Variant 3,Bale
46,630546,63,6305,630546,Jute sacks and bags - Variant 4,Bale
47,030647,03,0306,030647,Frozen shrimp and prawns - Variant 5,Carton
48,090248,09,0902,090248,Black and green tea - Variant 6,Bag
49,410749,41,4107,410749,Finished leather - Variant 1,Pallet
50,640350,64,6403,640350,Leather footwear - Variant 2,Carton
51,300451,30,3004,300451,Medicaments - Variant 3,Carton
52,392352,39,3923,392352,Plastic packaging articles - Variant 4,Carton
53,871253,87,8712,871253,Bicycles - Variant 5,Unit
54,940354,94,9403,940354,Wooden furniture - Variant 6,Unit
55,691155,69,6911,691155,Ceramic tableware - Variant 1,Carton
56,520556,52,5205,520556,Cotton yarn - Variant 2,Cone
57,100657,10,1006,100657,Rice - Variant 3,Bag
58,160558,16,1605,160558,Processed seafood - Variant 4,Carton
59,200559,20,2005,200559,Processed vegetables - Variant 5,Carton
60,210660,21,2106,210660,Processed food preparations - Variant 6,Carton
