religion_id,census_id,muslim_total,hindu_total,christian_total,buddhist_total,other_religion
1,1,10188707,552306,57055,261926,157041
2,2,11861239,1644801,45467,109683,838810
3,3,1635489,223669,3106,10277,26590
4,4,1886560,78542,8872,5004,341415
5,5,2715646,235183,6377,46385,42650
6,6,3108320,403343,15586,21806,50394
7,7,2082643,181353,12081,42235,32920
8,8,2339223,375372,11380,21396,111194
9,9,2197078,327100,6783,18978,36209
10,10,2694877,258373,6865,27188,42418
11,11,1583301,144693,14031,26043,190867
12,12,1875140,277258,6615,29210,127778
13,13,1657437,85300,5734,6475,190709
14,14,2172026,288555,18580,12133,35375
15,15,2076231,145445,15271,6786,31860
16,16,2453715,117980,5881,72923,331103
17,17,1735285,81127,11485,19063,26227
18,18,2216091,75721,8532,8996,94957
19,19,725991,101751,7138,11358,60005
20,20,944161,97065,5200,15669,15082
21,21,2568351,102833,16313,12807,419370
22,22,3342276,250239,17678,40414,285560
23,23,560861,50184,839,4568,43661
24,24,662149,56565,1363,8749,94783
25,25,1070260,166118,7628,29260,37920
26,26,1412860,178943,5059,32053,23130
27,27,2616216,203400,8228,29202,40568
28,28,3281331,169805,22917,70092,172103
29,29,2851656,112551,7518,36924,185091
30,30,3127536,401656,4955,56374,181949
31,31,839518,83752,6573,17181,13449
32,32,1070210,89799,8653,3082,15482
33,33,1175175,84924,10328,4548,100606
34,34,1383965,178456,6547,20516,22571
35,35,1301860,129095,3110,26256,20738
36,36,1616644,221983,2003,26762,26517
37,37,2638090,268886,22203,39260,42150
38,38,3178167,288910,14388,52605,50182
39,39,1267974,211671,4681,32590,46336
40,40,1777385,168554,7578,17834,22330
41,41,2908246,211221,20656,69641,45577
42,42,3284186,457091,4586,81255,114592
43,43,2323979,130792,9578,54884,35772
44,44,2766277,174462,6076,63393,42744
45,45,1981093,267835,10960,38104,32631
46,46,2520005,175440,18023,10414,54523
47,47,603569,45978,965,7369,20630
48,48,731304,107205,2658,1105,11960
49,49,966799,87557,3602,18164,45924
50,50,1149108,126920,1392,18301,18401
51,51,1957375,270862,9404,4049,115964
52,52,2684305,178227,21488,38198,78356
53,53,839959,98740,1215,13918,42053
54,54,1183536,54250,3605,10451,17777
55,55,1250860,153069,11002,4837,131294
56,56,1727633,92249,6576,47229,160932
57,57,1123660,138112,7383,8463,18143
58,58,1422359,69537,12099,11979,78711
59,59,936830,71575,4738,10994,126340
60,60,1219538,180413,10663,31080,20472
61,61,2407031,123781,22729,32387,306029
62,62,3218356,155120,12079,69844,39513
63,63,1695040,76509,8931,2036,83847
64,64,1914027,209451,15359,11763,158331
65,65,449003,75275,4193,10692,15761
66,66,622121,71924,4813,10723,10078
67,67,1504143,157229,1741,24463,23963
68,68,1850193,106852,7915,15100,28117
69,69,1606798,155934,9387,30449,25597
70,70,1893238,94351,15726,47330,122989
71,71,899977,49021,4396,24064,23443
72,72,1092218,57110,1974,19128,79175
73,73,1220791,153257,7929,8415,74866
74,74,1596295,229306,9094,28782,26461
75,75,2212065,96138,7414,36303,267410
76,76,2639944,353260,4690,65644,43501
77,77,1084817,178962,6979,32678,34278
78,78,1372009,211552,6270,25567,22939
79,79,960432,157243,7841,27950,16284
80,80,1209879,160421,2014,20708,50200
81,81,2311692,181911,13877,21249,105622
82,82,2768893,246066,16237,18976,101725
83,83,1259492,175386,6115,4018,20520
84,84,1580868,165972,7205,35869,25416
85,85,1989376,123069,17443,9066,114270
86,86,2255411,84991,7913,40958,239795
87,87,1913090,128310,13916,21504,126935
88,88,2331834,90620,4204,37903,280967
89,89,1196123,104720,6642,2834,18607
90,90,1592181,53689,2463,27547,27180
91,91,2021566,297539,8256,24511,112998
92,92,2787450,136083,9645,10552,41800
93,93,2260147,104245,3221,7665,351092
94,94,2852138,220477,25081,70123,141858
95,95,1091689,54589,7418,32585,166224
96,96,1396330,139681,5253,15888,22111
97,97,1895394,171834,3200,11706,29566
98,98,2398492,281862,17088,28987,38714
99,99,2195797,96763,15184,39565,188827
100,100,2691944,287242,15484,46146,43177
101,101,2337500,211524,11199,59476,37199
102,102,2576377,314066,22735,45403,153068
103,103,882847,128224,8384,21531,61270
104,104,1114458,83847,1449,8002,139278
105,105,2169217,292744,6725,43608,35673
106,106,2827089,249793,3910,15774,43969
107,107,2802000,110996,15077,67763,42539
108,108,2984770,241289,6502,6300,424020
109,109,1131721,155446,7003,20828,96502
110,110,1436360,57237,11288,25567,255900
111,111,1726960,159112,2255,31488,94760
112,112,1914663,329764,8948,19624,99801
113,113,2140815,241101,15459,2750,34081
114,114,2606630,278437,14112,65882,42102
115,115,791785,88245,5507,21740,12885
116,116,1028253,116008,7711,16135,16587
117,117,1807508,119535,5104,14824,30863
118,118,2063935,109705,12764,13221,243121
119,119,854778,116508,5858,15126,14091
120,120,1090923,54087,5740,7615,85220
121,121,630769,95025,4843,6070,10463
122,122,823124,80559,2209,6892,12963
123,123,496887,79528,1351,3394,27000
124,124,665483,83998,1187,4775,10729
125,125,2555280,237036,14554,61886,40734
126,126,3193673,149652,21123,4890,76631
127,127,2529650,297144,5772,41038,40804
128,128,3064863,446294,4328,82861,82682
