religion_id,area_id,year,religion,indicator_id,value
1,1,2022,Muslim,17,91
2,1,2022,Hindu,17,7
3,1,2022,Buddhist,17,0
4,1,2022,Christian,17,0
5,1,2022,Others,17,0
6,2,2022,Muslim,17,91
7,2,2022,Hindu,17,8
8,2,2022,Buddhist,17,0
9,2,2022,Christian,17,0
10,2,2022,Others,17,0
11,3,2022,Muslim,17,90
12,3,2022,Hindu,17,6
13,3,2022,Buddhist,17,2
14,3,2022,Christian,17,0
15,3,2022,Others,17,0
16,4,2022,Muslim,17,93
17,4,2022,Hindu,17,6
18,4,2022,Buddhist,17,0
19,4,2022,Christian,17,0
20,4,2022,Others,17,0
21,5,2022,Muslim,17,88
22,5,2022,Hindu,17,11
23,5,2022,Buddhist,17,0
24,5,2022,Christian,17,0
25,5,2022,Others,17,0
26,6,2022,Muslim,17,95
27,6,2022,Hindu,17,3
28,6,2022,Buddhist,17,0
29,6,2022,Christian,17,0
30,6,2022,Others,17,0
31,7,2022,Muslim,17,93
32,7,2022,Hindu,17,5
33,7,2022,Buddhist,17,0
34,7,2022,Christian,17,0
35,7,2022,Others,17,0
36,8,2022,Muslim,17,86
37,8,2022,Hindu,17,12
38,8,2022,Buddhist,17,0
39,8,2022,Christian,17,0
40,8,2022,Others,17,0
41,9,2022,Muslim,17,86
42,9,2022,Hindu,17,13
43,9,2022,Buddhist,17,0
44,9,2022,Christian,17,0
45,9,2022,Others,17,0
46,1,2011,Muslim,17,90
47,1,2011,Hindu,17,8
48,1,2011,Buddhist,17,0
49,1,2011,Christian,17,0
50,1,2011,Others,17,0
51,2,2011,Muslim,17,90
52,2,2011,Hindu,17,9
53,2,2011,Buddhist,17,0
54,2,2011,Christian,17,0
55,2,2011,Others,17,0
56,3,2011,Muslim,17,89
57,3,2011,Hindu,17,7
58,3,2011,Buddhist,17,3
59,3,2011,Christian,17,0
60,3,2011,Others,17,0
61,4,2011,Muslim,17,93
62,4,2011,Hindu,17,6
63,4,2011,Buddhist,17,0
64,4,2011,Christian,17,0
65,4,2011,Others,17,0
66,5,2011,Muslim,17,86
67,5,2011,Hindu,17,12
68,5,2011,Buddhist,17,0
69,5,2011,Christian,17,0
70,5,2011,Others,17,0
71,7,2011,Muslim,17,93
72,7,2011,Hindu,17,5
73,7,2011,Buddhist,17,0
74,7,2011,Christian,17,0
75,7,2011,Others,17,0
76,8,2011,Muslim,17,86
77,8,2011,Hindu,17,13
78,8,2011,Buddhist,17,0
79,8,2011,Christian,17,0
80,8,2011,Others,17,0
81,9,2011,Muslim,17,85
82,9,2011,Hindu,17,14
83,9,2011,Buddhist,17,0
84,9,2011,Christian,17,0
85,9,2011,Others,17,1
