sdg_id,district_id,indicator_code,indicator_name,sdg_goal,year,value,unit,area
1,1,SDG-1.2.1,Population below national poverty line,1,2025,10.2,%,District
2,1,SDG-3.2.1,Under-five mortality rate,3,2025,17.4,"per 1,000",District
3,1,SDG-4.1.1,Secondary school completion rate,4,2025,87.5,%,District
4,1,SDG-6.1.1,Population using safely managed drinking water,6,2025,77.5,%,District
5,1,SDG-8.5.2,Unemployment rate,8,2025,12,%,District
6,1,SDG-16.9.1,Birth registration coverage,16,2025,64.5,%,District
7,2,SDG-1.2.1,Population below national poverty line,1,2025,19.6,%,District
8,2,SDG-3.2.1,Under-five mortality rate,3,2025,27.7,"per 1,000",District
9,2,SDG-4.1.1,Secondary school completion rate,4,2025,82.7,%,District
10,2,SDG-6.1.1,Population using safely managed drinking water,6,2025,52.4,%,District
11,2,SDG-8.5.2,Unemployment rate,8,2025,8.9,%,District
12,2,SDG-16.9.1,Birth registration coverage,16,2025,88.4,%,District
13,3,SDG-1.2.1,Population below national poverty line,1,2025,12.3,%,District
14,3,SDG-3.2.1,Under-five mortality rate,3,2025,37.3,"per 1,000",District
15,3,SDG-4.1.1,Secondary school completion rate,4,2025,96.3,%,District
16,3,SDG-6.1.1,Population using safely managed drinking water,6,2025,89.5,%,District
17,3,SDG-8.5.2,Unemployment rate,8,2025,2.4,%,District
18,3,SDG-16.9.1,Birth registration coverage,16,2025,50.4,%,District
19,4,SDG-1.2.1,Population below national poverty line,1,2025,30.9,%,District
20,4,SDG-3.2.1,Under-five mortality rate,3,2025,40.8,"per 1,000",District
21,4,SDG-4.1.1,Secondary school completion rate,4,2025,50.4,%,District
22,4,SDG-6.1.1,Population using safely managed drinking water,6,2025,86.6,%,District
23,4,SDG-8.5.2,Unemployment rate,8,2025,8.7,%,District
24,4,SDG-16.9.1,Birth registration coverage,16,2025,85.5,%,District
25,5,SDG-1.2.1,Population below national poverty line,1,2025,28.5,%,District
26,5,SDG-3.2.1,Under-five mortality rate,3,2025,13.4,"per 1,000",District
27,5,SDG-4.1.1,Secondary school completion rate,4,2025,74.2,%,District
28,5,SDG-6.1.1,Population using safely managed drinking water,6,2025,80.2,%,District
29,5,SDG-8.5.2,Unemployment rate,8,2025,8.1,%,District
30,5,SDG-16.9.1,Birth registration coverage,16,2025,91.4,%,District
31,6,SDG-1.2.1,Population below national poverty line,1,2025,18.1,%,District
32,6,SDG-3.2.1,Under-five mortality rate,3,2025,29.5,"per 1,000",District
33,6,SDG-4.1.1,Secondary school completion rate,4,2025,68.2,%,District
34,6,SDG-6.1.1,Population using safely managed drinking water,6,2025,82.3,%,District
35,6,SDG-8.5.2,Unemployment rate,8,2025,9.7,%,District
36,6,SDG-16.9.1,Birth registration coverage,16,2025,60.5,%,District
37,7,SDG-1.2.1,Population below national poverty line,1,2025,20.9,%,District
38,7,SDG-3.2.1,Under-five mortality rate,3,2025,23.2,"per 1,000",District
39,7,SDG-4.1.1,Secondary school completion rate,4,2025,83.4,%,District
40,7,SDG-6.1.1,Population using safely managed drinking water,6,2025,56.7,%,District
41,7,SDG-8.5.2,Unemployment rate,8,2025,2.6,%,District
42,7,SDG-16.9.1,Birth registration coverage,16,2025,80.3,%,District
43,8,SDG-1.2.1,Population below national poverty line,1,2025,12.8,%,District
44,8,SDG-3.2.1,Under-five mortality rate,3,2025,17.9,"per 1,000",District
45,8,SDG-4.1.1,Secondary school completion rate,4,2025,55.8,%,District
46,8,SDG-6.1.1,Population using safely managed drinking water,6,2025,82.6,%,District
47,8,SDG-8.5.2,Unemployment rate,8,2025,8.3,%,District
48,8,SDG-16.9.1,Birth registration coverage,16,2025,79.6,%,District
49,9,SDG-1.2.1,Population below national poverty line,1,2025,9.5,%,District
50,9,SDG-3.2.1,Under-five mortality rate,3,2025,16.7,"per 1,000",District
51,9,SDG-4.1.1,Secondary school completion rate,4,2025,78,%,District
52,9,SDG-6.1.1,Population using safely managed drinking water,6,2025,76.7,%,District
53,9,SDG-8.5.2,Unemployment rate,8,2025,6.1,%,District
54,9,SDG-16.9.1,Birth registration coverage,16,2025,58.4,%,District
55,10,SDG-1.2.1,Population below national poverty line,1,2025,18,%,District
56,10,SDG-3.2.1,Under-five mortality rate,3,2025,15.4,"per 1,000",District
57,10,SDG-4.1.1,Secondary school completion rate,4,2025,53.6,%,District
