 Purpose Code, Purpose
31164,Agrarian reform
31165,Agricultural alternative development
31194,Agricultural co-operatives
31120,Agricultural development
31181,Agricultural education/training
31166,Agricultural extension
31193,Agricultural financial services
31150,Agricultural inputs
31130,Agricultural land resources
31110,Agricultural policy and administrative management
31182,Agricultural research
31191,Agricultural services
31140,Agricultural water resources
311,Agriculture
31000,Agriculture; forestry and fishing; unspecified
310,Agriculture; forestry; fishing
31100,Agriculture; unspecified
32161,Agro-industries
314,Agro-industry
10000,All CRS purposes
41030,Bio-diversity
41020,Biosphere protection
32140,Cottage industries and handicraft
41081,Environmental education/ training
41010,Environmental policy and administrative management
41082,Environmental research
32267,Fertilizer minerals
32165,Fertilizer plants
31320,Fishery development
31381,Fishery education/training
31382,Fishery research
31391,Fishery services
313,Fishing
31310,Fishing policy and administrative management
31300,Fishing; unspecified
31161,Food crop production
32162,Forest industries
312,Forestry
31220,Forestry development
31281,Forestry education/training
31210,Forestry policy and administrative management
31282,Forestry research
31291,Forestry services
31200,Forestry; unspecified
31261,Fuelwood/charcoal
410,General Environment Protection
41000,General Environmental Protection; unspecified
31162,Industrial crops/export crops
31163,Livestock
31195,Livestock/veterinary services
32173,Modern biofuels manufacturing
308,Other Agriculture; Forestry and Fishing
30800,Other Agriculture; Forestry and Fishing
31192,Plant and post-harvest protection and pest control
307,Rural Development
43040,Rural development
41040,Site preservation
32163,Textiles; leather and substitutes
