Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
"PP","Producer Prices","050","Bangladesh","5539","Producer Price Index (2014-2016 = 100)","01379.01","Areca nuts","2025","2025","7021","Annual value","","136.51","E","Estimated value"
"PP","Producer Prices","050","Bangladesh","5539","Producer Price Index (2014-2016 = 100)","01312","Bananas","2025","2025","7021","Annual value","","185.76","E","Estimated value"
"PP","Producer Prices","050","Bangladesh","5539","Producer Price Index (2014-2016 = 100)","0115","Barley","2025","2025","7021","Annual value","","124.03","E","Estimated value"
"PP","Producer Prices","050","Bangladesh","5539","Producer Price Index (2014-2016 = 100)","01701","Beans, dry","2025","2025","7021","Annual value","","126.82","E","Estimated value"
"PP","Producer Prices","050","Bangladesh","5539","Producer Price Index (2014-2016 = 100)","01212","Cabbages","2025","2025","7021","Annual value","","204.65","E","Estimated value"
"PP","Producer Prices","050","Bangladesh","5539","Producer Price Index (2014-2016 = 100)","01229","Cantaloupes and other melons","2025","2025","7021","Annual value","","108.74","E","Estimated value"
"PP","Producer Prices","050","Bangladesh","5539","Producer Price Index (2014-2016 = 100)","01372","Cashew nuts, in shell","2025","2025","7021","Annual value","","183.48","E","Estimated value"
"PP","Producer Prices","050","Bangladesh","5539","Producer Price Index (2014-2016 = 100)","01447","Castor oil seeds","2025","2025","7021","Annual value","","114.79","E","Estimated value"
"PP","Producer Prices","050","Bangladesh","5539","Producer Price Index (2014-2016 = 100)","01213","Cauliflowers and broccoli","2025","2025","7021","Annual value","","225.4","E","Estimated value"
"PP","Producer Prices","050","Bangladesh","5539","Producer Price Index (2014-2016 = 100)","01199.90","Cereals n.e.c.","2025","2025","7021","Annual value","","157.09","E","Estimated value"
"PP","Producer Prices","050","Bangladesh","5539","Producer Price Index (2014-2016 = 100)","01703","Chick peas, dry","2025","2025","7021","Annual value","","149.89","E","Estimated value"
"PP","Producer Prices","050","Bangladesh","5539","Producer Price Index (2014-2016 = 100)","01652","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","2025","2025","7021","Annual value","","214.05","E","Estimated value"
"PP","Producer Prices","050","Bangladesh","5539","Producer Price Index (2014-2016 = 100)","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2025","2025","7021","Annual value","","117.59","E","Estimated value"
"PP","Producer Prices","050","Bangladesh","5539","Producer Price Index (2014-2016 = 100)","01460","Coconuts, in shell","2025","2025","7021","Annual value","","76.9","E","Estimated value"
"PP","Producer Prices","050","Bangladesh","5539","Producer Price Index (2014-2016 = 100)","01921.02","Cotton lint, ginned","2025","2025","7021","Annual value","","108.01","E","Estimated value"
"PP","Producer Prices","050","Bangladesh","5539","Producer Price Index (2014-2016 = 100)","0143","Cotton seed","2025","2025","7021","Annual value","","197.6","E","Estimated value"
"PP","Producer Prices","050","Bangladesh","5539","Producer Price Index (2014-2016 = 100)","01232","Cucumbers and gherkins","2025","2025","7021","Annual value","","138.57","E","Estimated value"
"PP","Producer Prices","050","Bangladesh","5539","Producer Price Index (2014-2016 = 100)","0232","Eggs from other birds in shell, fresh, n.e.c.","2025","2025","7021","Annual value","","173.95","E","Estimated value"
"PP","Producer Prices","050","Bangladesh","5539","Producer Price Index (2014-2016 = 100)","01657","Ginger, raw","2025","2025","7021","Annual value","","150.27","E","Estimated value"
"PP","Producer Prices","050","Bangladesh","5539","Producer Price Index (2014-2016 = 100)","01252","Green garlic","2025","2025","7021","Annual value","","119.46","E","Estimated value"
"PP","Producer Prices","050","Bangladesh","5539","Producer Price Index (2014-2016 = 100)","0142","Groundnuts, excluding shelled","2025","2025","7021","Annual value","","129.7","E","Estimated value"
"PP","Producer Prices","050","Bangladesh","5539","Producer Price Index (2014-2016 = 100)","0231","Hen eggs in shell, fresh","2025","2025","7021","Annual value","","170.83","E","Estimated value"
"PP","Producer Prices","050","Bangladesh","5539","Producer Price Index (2014-2016 = 100)","01922.01","Jute, raw or retted","2025","2025","7021","Annual value","","230.51","E","Estimated value"
"PP","Producer Prices","050","Bangladesh","5539","Producer Price Index (2014-2016 = 100)","01922.02","Kenaf, and other textile bast fibres, raw or retted","2025","2025","7021","Annual value","","349.27","E","Estimated value"
"PP","Producer Prices","050","Bangladesh","5539","Producer Price Index (2014-2016 = 100)","01322","Lemons and limes","2025","2025","7021","Annual value","","129.05","E","Estimated value"
"PP","Producer Prices","050","Bangladesh","5539","Producer Price Index (2014-2016 = 100)","01704","Lentils, dry","2025","2025","7021","Annual value","","111.66","E","Estimated value"
"PP","Producer Prices","050","Bangladesh","5539","Producer Price Index (2014-2016 = 100)","01214","Lettuce and chicory","2025","2025","7021","Annual value","","105.5","E","Estimated value"
"PP","Producer Prices","050","Bangladesh","5539","Producer Price Index (2014-2016 = 100)","01441","Linseed","2025","2025","7021","Annual value","","123.45","E","Estimated value"
"PP","Producer Prices","050","Bangladesh","5539","Producer Price Index (2014-2016 = 100)","0112","Maize (corn)","2025","2025","7021","Annual value","","122.32","E","Estimated value"
"PP","Producer Prices","050","Bangladesh","5539","Producer Price Index (2014-2016 = 100)","01316","Mangoes, guavas and mangosteens","2025","2025","7021","Annual value","","82.53","E","Estimated value"
"PP","Producer Prices","050","Bangladesh","5539","Producer Price Index (2014-2016 = 100)","21112","Meat of buffalo, fresh or chilled","2025","2025","7021","Annual value","","122.88","E","Estimated value"
