Domain Code,Domain,Area Code (M49),Area,Year Code,Year,Item Code,Item,Months Code,Months,Element Code,Element,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","050","Bangladesh","2025","2025","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","6125","Value","","190.329674","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","050","Bangladesh","2025","2025","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","6125","Value","","189.036298","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","050","Bangladesh","2025","2025","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","6125","Value","","192.335133","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","050","Bangladesh","2025","2025","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","6125","Value","","193.584912","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","050","Bangladesh","2025","2025","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","6125","Value","","191.608517","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","050","Bangladesh","2025","2025","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","6125","Value","","193.425056","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","050","Bangladesh","2025","2025","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","6125","Value","","201.069052","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","050","Bangladesh","2025","2025","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","6125","Value","","209.090887","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","050","Bangladesh","2025","2025","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","6125","Value","","211.503251","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","050","Bangladesh","2025","2025","23012","Consumer Prices, General Indices (2015 = 100)","7001","January","6125","Value","","189.154413","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","050","Bangladesh","2025","2025","23012","Consumer Prices, General Indices (2015 = 100)","7002","February","6125","Value","","188.866704","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","050","Bangladesh","2025","2025","23012","Consumer Prices, General Indices (2015 = 100)","7003","March","6125","Value","","191.297847","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","050","Bangladesh","2025","2025","23012","Consumer Prices, General Indices (2015 = 100)","7004","April","6125","Value","","192.045891","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","050","Bangladesh","2025","2025","23012","Consumer Prices, General Indices (2015 = 100)","7005","May","6125","Value","","191.441702","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","050","Bangladesh","2025","2025","23012","Consumer Prices, General Indices (2015 = 100)","7006","June","6125","Value","","192.549382","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","050","Bangladesh","2025","2025","23012","Consumer Prices, General Indices (2015 = 100)","7007","July","6125","Value","","196.836249","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","050","Bangladesh","2025","2025","23012","Consumer Prices, General Indices (2015 = 100)","7008","August","6125","Value","","201.482753","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","050","Bangladesh","2025","2025","23012","Consumer Prices, General Indices (2015 = 100)","7009","September","6125","Value","","203.597415","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","050","Bangladesh","2025","2025","23014","Food price inflation","7001","January","6121","Value","%","10.710059","E","Estimated value",""
"CP","Consumer Price Indices","050","Bangladesh","2025","2025","23014","Food price inflation","7002","February","6121","Value","%","9.246662","E","Estimated value",""
"CP","Consumer Price Indices","050","Bangladesh","2025","2025","23014","Food price inflation","7003","March","6121","Value","%","8.930041","E","Estimated value",""
"CP","Consumer Price Indices","050","Bangladesh","2025","2025","23014","Food price inflation","7004","April","6121","Value","%","8.627579","E","Estimated value",""
"CP","Consumer Price Indices","050","Bangladesh","2025","2025","23014","Food price inflation","7005","May","6121","Value","%","8.590018","E","Estimated value",""
"CP","Consumer Price Indices","050","Bangladesh","2025","2025","23014","Food price inflation","7006","June","6121","Value","%","7.390673","E","Estimated value",""
"CP","Consumer Price Indices","050","Bangladesh","2025","2025","23014","Food price inflation","7007","July","6121","Value","%","7.55597","E","Estimated value",""
"CP","Consumer Price Indices","050","Bangladesh","2025","2025","23014","Food price inflation","7008","August","6121","Value","%","7.597966","E","Estimated value",""
"CP","Consumer Price Indices","050","Bangladesh","2025","2025","23014","Food price inflation","7009","September","6121","Value","%","7.639967","E","Estimated value",""
