Domain Code,Domain,Area Code (M49),Area,Food Group Code,Food Group,Indicator Code,Indicator,Year Code,Year,Element Code,Element,Unit,Value,Flag,Flag Description,Note
"SUA","Availability (based on supply utilization accounts)","050","Bangladesh","FG1","Cereals and their products","4004","Protein supply","2023","2023","6123","Value","g/cap/d","35.8","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","050","Bangladesh","FG1","Cereals and their products","4005","Fat supply","2023","2023","6123","Value","g/cap/d","4.7","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","050","Bangladesh","FG1","Cereals and their products","4006","Carbohydrate (available) supply","2023","2023","6123","Value","g/cap/d","375.9","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","050","Bangladesh","FG1","Cereals and their products","4007","Dietary fibre supply","2023","2023","6123","Value","g/cap/d","8.9","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","050","Bangladesh","FG1","Cereals and their products","4003","Energy supply","2023","2023","6128","Value","kcal/cap/d","1755","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","050","Bangladesh","FG1","Cereals and their products","4017","Vitamin A supply (retinol equivalents)","2023","2023","6206","Value","μg/cap/d","0","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","050","Bangladesh","FG1","Cereals and their products","4018","Vitamin A supply (retinol activity equivalents)","2023","2023","6206","Value","μg/cap/d","0","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","050","Bangladesh","FG1","Cereals and their products","4009","Calcium supply","2023","2023","6209","Value","mg/cap/d","94","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","050","Bangladesh","FG1","Cereals and their products","4010","Iron supply","2023","2023","6209","Value","mg/cap/d","4.8","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","050","Bangladesh","FG1","Cereals and their products","4015","Zinc supply","2023","2023","6209","Value","mg/cap/d","6.48","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","050","Bangladesh","FG1","Cereals and their products","4011","Magnesium supply","2023","2023","6209","Value","mg/cap/d","159","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","050","Bangladesh","FG1","Cereals and their products","4012","Phosphorus supply","2023","2023","6209","Value","mg/cap/d","627","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","050","Bangladesh","FG1","Cereals and their products","4013","Potassium supply","2023","2023","6209","Value","mg/cap/d","545","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","050","Bangladesh","FG1","Cereals and their products","4021","Thiamin supply","2023","2023","6209","Value","mg/cap/d","0.76","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","050","Bangladesh","FG1","Cereals and their products","4022","Riboflavin supply","2023","2023","6209","Value","mg/cap/d","0.2","E","Estimated value",""
