Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FBS","Food Balances (2010-)","050","Bangladesh","511","Total Population - Both sexes","S2501","Population","2023","2023","1000 No","171466.99","X","Figure from external organization",""
"FBS","Food Balances (2010-)","050","Bangladesh","5511","Production","S2511","Wheat and products","2023","2023","1000 t","1206","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","050","Bangladesh","5611","Import quantity","S2511","Wheat and products","2023","2023","1000 t","9484","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","050","Bangladesh","5072","Stock Variation","S2511","Wheat and products","2023","2023","1000 t","-172","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","050","Bangladesh","5911","Export quantity","S2511","Wheat and products","2023","2023","1000 t","55","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","050","Bangladesh","5301","Domestic supply quantity","S2511","Wheat and products","2023","2023","1000 t","10807","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","050","Bangladesh","5521","Feed","S2511","Wheat and products","2023","2023","1000 t","7149","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","050","Bangladesh","5527","Seed","S2511","Wheat and products","2023","2023","1000 t","41","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","050","Bangladesh","5123","Losses","S2511","Wheat and products","2023","2023","1000 t","163","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","050","Bangladesh","5131","Processing","S2511","Wheat and products","2023","2023","1000 t","5","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","050","Bangladesh","5154","Other uses (non-food)","S2511","Wheat and products","2023","2023","1000 t","1551","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","050","Bangladesh","5170","Residuals","S2511","Wheat and products","2023","2023","1000 t","14","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","050","Bangladesh","5142","Food","S2511","Wheat and products","2023","2023","1000 t","1883","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","050","Bangladesh","645","Food supply quantity (kg/capita/yr)","S2511","Wheat and products","2023","2023","kg/cap","10.98","E","Estimated value",""
