Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBSH","Food Balances (-2013, old methodology and population)","050","Bangladesh","511","Total Population - Both sexes","S2501","Population","2013","2013","1000 No","156595","X","Figure from external organization"
"FBSH","Food Balances (-2013, old methodology and population)","050","Bangladesh","5511","Production","S2511","Wheat and products","2013","2013","1000 t","1255","I","Value imputed by a receiving agency"
"FBSH","Food Balances (-2013, old methodology and population)","050","Bangladesh","5611","Import Quantity","S2511","Wheat and products","2013","2013","1000 t","2882","I","Value imputed by a receiving agency"
"FBSH","Food Balances (-2013, old methodology and population)","050","Bangladesh","5074","Stock Variation","S2511","Wheat and products","2013","2013","1000 t","-627","I","Value imputed by a receiving agency"
"FBSH","Food Balances (-2013, old methodology and population)","050","Bangladesh","5911","Export quantity","S2511","Wheat and products","2013","2013","1000 t","13","I","Value imputed by a receiving agency"
"FBSH","Food Balances (-2013, old methodology and population)","050","Bangladesh","5301","Domestic supply quantity","S2511","Wheat and products","2013","2013","1000 t","3497","I","Value imputed by a receiving agency"
"FBSH","Food Balances (-2013, old methodology and population)","050","Bangladesh","5527","Seed","S2511","Wheat and products","2013","2013","1000 t","41","I","Value imputed by a receiving agency"
"FBSH","Food Balances (-2013, old methodology and population)","050","Bangladesh","5123","Losses","S2511","Wheat and products","2013","2013","1000 t","221","I","Value imputed by a receiving agency"
"FBSH","Food Balances (-2013, old methodology and population)","050","Bangladesh","5131","Processing","S2511","Wheat and products","2013","2013","1000 t","0","I","Value imputed by a receiving agency"
"FBSH","Food Balances (-2013, old methodology and population)","050","Bangladesh","5154","Other uses (non-food)","S2511","Wheat and products","2013","2013","1000 t","500","I","Value imputed by a receiving agency"
"FBSH","Food Balances (-2013, old methodology and population)","050","Bangladesh","5142","Food","S2511","Wheat and products","2013","2013","1000 t","2736","I","Value imputed by a receiving agency"
"FBSH","Food Balances (-2013, old methodology and population)","050","Bangladesh","645","Food supply quantity (kg/capita/yr)","S2511","Wheat and products","2013","2013","kg/cap","17.47","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","050","Bangladesh","664","Food supply (kcal/capita/day)","S2511","Wheat and products","2013","2013","kcal/cap/d","149.6","E","Estimated value"
