Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"CB","Commodity Balances (non-food) (2010-)","050","Bangladesh","5610","Import quantity","25020.01","Cigarettes","2023","2023","t","46.09","X","Figure from external organization","Estimated data using trading partners database"
"CB","Commodity Balances (non-food) (2010-)","050","Bangladesh","5071","Stock Variation","25020.01","Cigarettes","2023","2023","t","-41.99","E","Estimated value",""
"CB","Commodity Balances (non-food) (2010-)","050","Bangladesh","5910","Export quantity","25020.01","Cigarettes","2023","2023","t","88.08","X","Figure from external organization","Estimated data using trading partners database"
"CB","Commodity Balances (non-food) (2010-)","050","Bangladesh","5166","Residuals","25020.01","Cigarettes","2023","2023","t","0","I","Value imputed by a receiving agency",""
"CB","Commodity Balances (non-food) (2010-)","050","Bangladesh","5610","Import quantity","25020.02","Cigars and cheroots","2023","2023","t","10.13","X","Figure from external organization","Estimated data using trading partners database"
"CB","Commodity Balances (non-food) (2010-)","050","Bangladesh","5071","Stock Variation","25020.02","Cigars and cheroots","2023","2023","t","5.83","E","Estimated value",""
"CB","Commodity Balances (non-food) (2010-)","050","Bangladesh","5910","Export quantity","25020.02","Cigars and cheroots","2023","2023","t","4.31","X","Figure from external organization","Estimated data using trading partners database"
"CB","Commodity Balances (non-food) (2010-)","050","Bangladesh","5166","Residuals","25020.02","Cigars and cheroots","2023","2023","t","0","I","Value imputed by a receiving agency",""
"CB","Commodity Balances (non-food) (2010-)","050","Bangladesh","5610","Import quantity","25090","Other manufactured tobacco and manufactured tobacco substitutes; "homogenized" or "reconstituted" tobacco; tobacco extracts and essences","2023","2023","t","295.22","X","Figure from external organization","Estimated data using trading partners database"
"CB","Commodity Balances (non-food) (2010-)","050","Bangladesh","5071","Stock Variation","25090","Other manufactured tobacco and manufactured tobacco substitutes; "homogenized" or "reconstituted" tobacco; tobacco extracts and essences","2023","2023","t","194.86","E","Estimated value",""
"CB","Commodity Balances (non-food) (2010-)","050","Bangladesh","5910","Export quantity","25090","Other manufactured tobacco and manufactured tobacco substitutes; "homogenized" or "reconstituted" tobacco; tobacco extracts and essences","2023","2023","t","100.37","X","Figure from external organization","Estimated data using trading partners database"
"CB","Commodity Balances (non-food) (2010-)","050","Bangladesh","5166","Residuals","25090","Other manufactured tobacco and manufactured tobacco substitutes; "homogenized" or "reconstituted" tobacco; tobacco extracts and essences","2023","2023","t","0","I","Value imputed by a receiving agency",""
"CB","Commodity Balances (non-food) (2010-)","050","Bangladesh","5610","Import quantity","26110","Raw silk (not thrown)","2023","2023","t","109.56","X","Figure from external organization","Estimated data using trading partners database"
"CB","Commodity Balances (non-food) (2010-)","050","Bangladesh","5165","Other uses (non-food)","26110","Raw silk (not thrown)","2023","2023","t","109.56","E","Estimated value",""
"CB","Commodity Balances (non-food) (2010-)","050","Bangladesh","5166","Residuals","26110","Raw silk (not thrown)","2023","2023","t","0","I","Value imputed by a receiving agency",""
"CB","Commodity Balances (non-food) (2010-)","050","Bangladesh","5610","Import quantity","39211","Silk waste","2023","2023","t","106.88","X","Figure from external organization","Estimated data using trading partners database"
"CB","Commodity Balances (non-food) (2010-)","050","Bangladesh","5165","Other uses (non-food)","39211","Silk waste","2023","2023","t","106.88","E","Estimated value",""
"CB","Commodity Balances (non-food) (2010-)","050","Bangladesh","5166","Residuals","39211","Silk waste","2023","2023","t","0","I","Value imputed by a receiving agency",""
"CB","Commodity Balances (non-food) (2010-)","050","Bangladesh","5610","Import quantity","26130","Wool, degreased or carbonized, not carded or combed","2023","2023","t","19.82","X","Figure from external organization","Estimated data using trading partners database"
"CB","Commodity Balances (non-food) (2010-)","050","Bangladesh","5910","Export quantity","26130","Wool, degreased or carbonized, not carded or combed","2023","2023","t","0.11","X","Figure from external organization","Estimated data using trading partners database"
"CB","Commodity Balances (non-food) (2010-)","050","Bangladesh","5165","Other uses (non-food)","26130","Wool, degreased or carbonized, not carded or combed","2023","2023","t","19.72","E","Estimated value",""
"CB","Commodity Balances (non-food) (2010-)","050","Bangladesh","5166","Residuals","26130","Wool, degreased or carbonized, not carded or combed","2023","2023","t","0","I","Value imputed by a receiving agency",""
