Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TI","Trade Indices","050","Bangladesh","462","Import Value Index (2014-2016 = 100)","01341","Apples","2024","2024","","118","E","Estimated value"
"TI","Trade Indices","050","Bangladesh","464","Import Unit/Value Index (2014-2016 = 100)","01341","Apples","2024","2024","","119","E","Estimated value"
"TI","Trade Indices","050","Bangladesh","465","Import Quantity Index (2014-2016 = 100)","01341","Apples","2024","2024","","98","E","Estimated value"
"TI","Trade Indices","050","Bangladesh","492","Export Value Index (2014-2016 = 100)","01341","Apples","2024","2024","","5648","E","Estimated value"
"TI","Trade Indices","050","Bangladesh","494","Export Unit/Value Index (2014-2016 = 100)","01341","Apples","2024","2024","","66","E","Estimated value"
"TI","Trade Indices","050","Bangladesh","495","Export Quantity Index (2014-2016 = 100)","01341","Apples","2024","2024","","4073","E","Estimated value"
"TI","Trade Indices","050","Bangladesh","462","Import Value Index (2014-2016 = 100)","01312","Bananas","2024","2024","","2","E","Estimated value"
"TI","Trade Indices","050","Bangladesh","464","Import Unit/Value Index (2014-2016 = 100)","01312","Bananas","2024","2024","","1009","E","Estimated value"
"TI","Trade Indices","050","Bangladesh","465","Import Quantity Index (2014-2016 = 100)","01312","Bananas","2024","2024","","0","E","Estimated value"
"TI","Trade Indices","050","Bangladesh","492","Export Value Index (2014-2016 = 100)","01312","Bananas","2024","2024","","83","E","Estimated value"
"TI","Trade Indices","050","Bangladesh","494","Export Unit/Value Index (2014-2016 = 100)","01312","Bananas","2024","2024","","106","E","Estimated value"
"TI","Trade Indices","050","Bangladesh","495","Export Quantity Index (2014-2016 = 100)","01312","Bananas","2024","2024","","81","E","Estimated value"
"TI","Trade Indices","050","Bangladesh","462","Import Value Index (2014-2016 = 100)","0115","Barley","2024","2024","","18195012","E","Estimated value"
"TI","Trade Indices","050","Bangladesh","464","Import Unit/Value Index (2014-2016 = 100)","0115","Barley","2024","2024","","19","E","Estimated value"
"TI","Trade Indices","050","Bangladesh","465","Import Quantity Index (2014-2016 = 100)","0115","Barley","2024","2024","","95574320","E","Estimated value"
"TI","Trade Indices","050","Bangladesh","462","Import Value Index (2014-2016 = 100)","24310.01","Beer of barley, malted","2024","2024","","11","E","Estimated value"
"TI","Trade Indices","050","Bangladesh","464","Import Unit/Value Index (2014-2016 = 100)","24310.01","Beer of barley, malted","2024","2024","","148","E","Estimated value"
