Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QV","Value of Agricultural Production","050","Bangladesh","152","Gross Production Value (constant 2014-2016 thousand I$)","01379.01","Areca nuts","2024","2024","1000 Int$","979345","E","Estimated value"
"QV","Value of Agricultural Production","050","Bangladesh","56","Gross Production Value (current thousand SLC)","01379.01","Areca nuts","2024","2024","1000 SLC","106151126","E","Estimated value"
"QV","Value of Agricultural Production","050","Bangladesh","55","Gross Production Value (constant 2014-2016 thousand SLC)","01379.01","Areca nuts","2024","2024","1000 SLC","80433053","E","Estimated value"
"QV","Value of Agricultural Production","050","Bangladesh","57","Gross Production Value (current thousand US$)","01379.01","Areca nuts","2024","2024","1000 USD","918233","E","Estimated value"
"QV","Value of Agricultural Production","050","Bangladesh","58","Gross Production Value (constant 2014-2016 thousand US$)","01379.01","Areca nuts","2024","2024","1000 USD","1030303","E","Estimated value"
"QV","Value of Agricultural Production","050","Bangladesh","152","Gross Production Value (constant 2014-2016 thousand I$)","01312","Bananas","2024","2024","1000 Int$","289298","E","Estimated value"
"QV","Value of Agricultural Production","050","Bangladesh","56","Gross Production Value (current thousand SLC)","01312","Bananas","2024","2024","1000 SLC","36220440","E","Estimated value"
"QV","Value of Agricultural Production","050","Bangladesh","55","Gross Production Value (constant 2014-2016 thousand SLC)","01312","Bananas","2024","2024","1000 SLC","20895937","E","Estimated value"
"QV","Value of Agricultural Production","050","Bangladesh","57","Gross Production Value (current thousand US$)","01312","Bananas","2024","2024","1000 USD","313316","E","Estimated value"
"QV","Value of Agricultural Production","050","Bangladesh","58","Gross Production Value (constant 2014-2016 thousand US$)","01312","Bananas","2024","2024","1000 USD","267590","E","Estimated value"
"QV","Value of Agricultural Production","050","Bangladesh","152","Gross Production Value (constant 2014-2016 thousand I$)","0115","Barley","2024","2024","1000 Int$","38","E","Estimated value"
"QV","Value of Agricultural Production","050","Bangladesh","56","Gross Production Value (current thousand SLC)","0115","Barley","2024","2024","1000 SLC","8182","E","Estimated value"
"QV","Value of Agricultural Production","050","Bangladesh","55","Gross Production Value (constant 2014-2016 thousand SLC)","0115","Barley","2024","2024","1000 SLC","6566","E","Estimated value"
"QV","Value of Agricultural Production","050","Bangladesh","57","Gross Production Value (current thousand US$)","0115","Barley","2024","2024","1000 USD","71","E","Estimated value"
"QV","Value of Agricultural Production","050","Bangladesh","58","Gross Production Value (constant 2014-2016 thousand US$)","0115","Barley","2024","2024","1000 USD","84","E","Estimated value"
"QV","Value of Agricultural Production","050","Bangladesh","152","Gross Production Value (constant 2014-2016 thousand I$)","01701","Beans, dry","2024","2024","1000 Int$","63971","E","Estimated value"
"QV","Value of Agricultural Production","050","Bangladesh","56","Gross Production Value (current thousand SLC)","01701","Beans, dry","2024","2024","1000 SLC","3776981","E","Estimated value"
"QV","Value of Agricultural Production","050","Bangladesh","55","Gross Production Value (constant 2014-2016 thousand SLC)","01701","Beans, dry","2024","2024","1000 SLC","3003174","E","Estimated value"
"QV","Value of Agricultural Production","050","Bangladesh","57","Gross Production Value (current thousand US$)","01701","Beans, dry","2024","2024","1000 USD","32672","E","Estimated value"
"QV","Value of Agricultural Production","050","Bangladesh","58","Gross Production Value (constant 2014-2016 thousand US$)","01701","Beans, dry","2024","2024","1000 USD","38455","E","Estimated value"
"QV","Value of Agricultural Production","050","Bangladesh","152","Gross Production Value (constant 2014-2016 thousand I$)","01212","Cabbages","2024","2024","1000 Int$","102401","E","Estimated value"
"QV","Value of Agricultural Production","050","Bangladesh","56","Gross Production Value (current thousand SLC)","01212","Cabbages","2024","2024","1000 SLC","8962556","E","Estimated value"
"QV","Value of Agricultural Production","050","Bangladesh","55","Gross Production Value (constant 2014-2016 thousand SLC)","01212","Cabbages","2024","2024","1000 SLC","4485737","E","Estimated value"
"QV","Value of Agricultural Production","050","Bangladesh","57","Gross Production Value (current thousand US$)","01212","Cabbages","2024","2024","1000 USD","77528","E","Estimated value"
"QV","Value of Agricultural Production","050","Bangladesh","58","Gross Production Value (constant 2014-2016 thousand US$)","01212","Cabbages","2024","2024","1000 USD","57421","E","Estimated value"
"QV","Value of Agricultural Production","050","Bangladesh","152","Gross Production Value (constant 2014-2016 thousand I$)","01229","Cantaloupes and other melons","2024","2024","1000 Int$","150098","E","Estimated value"
"QV","Value of Agricultural Production","050","Bangladesh","56","Gross Production Value (current thousand SLC)","01229","Cantaloupes and other melons","2024","2024","1000 SLC","4545311","E","Estimated value"
"QV","Value of Agricultural Production","050","Bangladesh","55","Gross Production Value (constant 2014-2016 thousand SLC)","01229","Cantaloupes and other melons","2024","2024","1000 SLC","4054840","E","Estimated value"
"QV","Value of Agricultural Production","050","Bangladesh","57","Gross Production Value (current thousand US$)","01229","Cantaloupes and other melons","2024","2024","1000 USD","39318","E","Estimated value"
"QV","Value of Agricultural Production","050","Bangladesh","58","Gross Production Value (constant 2014-2016 thousand US$)","01229","Cantaloupes and other melons","2024","2024","1000 USD","51922","E","Estimated value"
"QV","Value of Agricultural Production","050","Bangladesh","152","Gross Production Value (constant 2014-2016 thousand I$)","01251","Carrots and turnips","2024","2024","1000 Int$","12632","E","Estimated value"
"QV","Value of Agricultural Production","050","Bangladesh","152","Gross Production Value (constant 2014-2016 thousand I$)","01447","Castor oil seeds","2024","2024","1000 Int$","138","E","Estimated value"
"QV","Value of Agricultural Production","050","Bangladesh","56","Gross Production Value (current thousand SLC)","01447","Castor oil seeds","2024","2024","1000 SLC","7961","E","Estimated value"
"QV","Value of Agricultural Production","050","Bangladesh","55","Gross Production Value (constant 2014-2016 thousand SLC)","01447","Castor oil seeds","2024","2024","1000 SLC","6862","E","Estimated value"
"QV","Value of Agricultural Production","050","Bangladesh","57","Gross Production Value (current thousand US$)","01447","Castor oil seeds","2024","2024","1000 USD","69","E","Estimated value"
"QV","Value of Agricultural Production","050","Bangladesh","58","Gross Production Value (constant 2014-2016 thousand US$)","01447","Castor oil seeds","2024","2024","1000 USD","88","E","Estimated value"
"QV","Value of Agricultural Production","050","Bangladesh","152","Gross Production Value (constant 2014-2016 thousand I$)","01213","Cauliflowers and broccoli","2024","2024","1000 Int$","201640","E","Estimated value"
"QV","Value of Agricultural Production","050","Bangladesh","56","Gross Production Value (current thousand SLC)","01213","Cauliflowers and broccoli","2024","2024","1000 SLC","11268098","E","Estimated value"
"QV","Value of Agricultural Production","050","Bangladesh","55","Gross Production Value (constant 2014-2016 thousand SLC)","01213","Cauliflowers and broccoli","2024","2024","1000 SLC","5948375","E","Estimated value"
"QV","Value of Agricultural Production","050","Bangladesh","57","Gross Production Value (current thousand US$)","01213","Cauliflowers and broccoli","2024","2024","1000 USD","97472","E","Estimated value"
"QV","Value of Agricultural Production","050","Bangladesh","58","Gross Production Value (constant 2014-2016 thousand US$)","01213","Cauliflowers and broccoli","2024","2024","1000 USD","76112","E","Estimated value"
"QV","Value of Agricultural Production","050","Bangladesh","152","Gross Production Value (constant 2014-2016 thousand I$)","01703","Chick peas, dry","2024","2024","1000 Int$","3517","E","Estimated value"
"QV","Value of Agricultural Production","050","Bangladesh","56","Gross Production Value (current thousand SLC)","01703","Chick peas, dry","2024","2024","1000 SLC","389078","E","Estimated value"
"QV","Value of Agricultural Production","050","Bangladesh","55","Gross Production Value (constant 2014-2016 thousand SLC)","01703","Chick peas, dry","2024","2024","1000 SLC","274979","E","Estimated value"
"QV","Value of Agricultural Production","050","Bangladesh","57","Gross Production Value (current thousand US$)","01703","Chick peas, dry","2024","2024","1000 USD","3366","E","Estimated value"
"QV","Value of Agricultural Production","050","Bangladesh","58","Gross Production Value (constant 2014-2016 thousand US$)","01703","Chick peas, dry","2024","2024","1000 USD","3518","E","Estimated value"
"QV","Value of Agricultural Production","050","Bangladesh","152","Gross Production Value (constant 2014-2016 thousand I$)","01652","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","2024","2024","1000 Int$","437424","E","Estimated value"
"QV","Value of Agricultural Production","050","Bangladesh","56","Gross Production Value (current thousand SLC)","01652","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","2024","2024","1000 SLC","86069952","E","Estimated value"
"QV","Value of Agricultural Production","050","Bangladesh","55","Gross Production Value (constant 2014-2016 thousand SLC)","01652","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","2024","2024","1000 SLC","43341874","E","Estimated value"
"QV","Value of Agricultural Production","050","Bangladesh","57","Gross Production Value (current thousand US$)","01652","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","2024","2024","1000 USD","744526","E","Estimated value"
"QV","Value of Agricultural Production","050","Bangladesh","58","Gross Production Value (constant 2014-2016 thousand US$)","01652","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","2024","2024","1000 USD","554990","E","Estimated value"
"QV","Value of Agricultural Production","050","Bangladesh","152","Gross Production Value (constant 2014-2016 thousand I$)","01460","Coconuts, in shell","2024","2024","1000 Int$","65347","E","Estimated value"
"QV","Value of Agricultural Production","050","Bangladesh","56","Gross Production Value (current thousand SLC)","01460","Coconuts, in shell","2024","2024","1000 SLC","5662262","E","Estimated value"
"QV","Value of Agricultural Production","050","Bangladesh","55","Gross Production Value (constant 2014-2016 thousand SLC)","01460","Coconuts, in shell","2024","2024","1000 SLC","6713861","E","Estimated value"
"QV","Value of Agricultural Production","050","Bangladesh","57","Gross Production Value (current thousand US$)","01460","Coconuts, in shell","2024","2024","1000 USD","48980","E","Estimated value"
"QV","Value of Agricultural Production","050","Bangladesh","58","Gross Production Value (constant 2014-2016 thousand US$)","01460","Coconuts, in shell","2024","2024","1000 USD","85971","E","Estimated value"
"QV","Value of Agricultural Production","050","Bangladesh","152","Gross Production Value (constant 2014-2016 thousand I$)","01232","Cucumbers and gherkins","2024","2024","1000 Int$","70816","E","Estimated value"
"QV","Value of Agricultural Production","050","Bangladesh","56","Gross Production Value (current thousand SLC)","01232","Cucumbers and gherkins","2024","2024","1000 SLC","4780709","E","Estimated value"
"QV","Value of Agricultural Production","050","Bangladesh","55","Gross Production Value (constant 2014-2016 thousand SLC)","01232","Cucumbers and gherkins","2024","2024","1000 SLC","3398315","E","Estimated value"
"QV","Value of Agricultural Production","050","Bangladesh","57","Gross Production Value (current thousand US$)","01232","Cucumbers and gherkins","2024","2024","1000 USD","41354","E","Estimated value"
"QV","Value of Agricultural Production","050","Bangladesh","58","Gross Production Value (constant 2014-2016 thousand US$)","01232","Cucumbers and gherkins","2024","2024","1000 USD","43507","E","Estimated value"
"QV","Value of Agricultural Production","050","Bangladesh","152","Gross Production Value (constant 2014-2016 thousand I$)","01233","Eggplants (aubergines)","2024","2024","1000 Int$","161199","E","Estimated value"
"QV","Value of Agricultural Production","050","Bangladesh","152","Gross Production Value (constant 2014-2016 thousand I$)","0232","Eggs from other birds in shell, fresh, n.e.c.","2024","2024","1000 Int$","956482","E","Estimated value"
"QV","Value of Agricultural Production","050","Bangladesh","56","Gross Production Value (current thousand SLC)","0232","Eggs from other birds in shell, fresh, n.e.c.","2024","2024","1000 SLC","95261560","E","Estimated value"
"QV","Value of Agricultural Production","050","Bangladesh","55","Gross Production Value (constant 2014-2016 thousand SLC)","0232","Eggs from other birds in shell, fresh, n.e.c.","2024","2024","1000 SLC","59091825","E","Estimated value"
"QV","Value of Agricultural Production","050","Bangladesh","57","Gross Production Value (current thousand US$)","0232","Eggs from other birds in shell, fresh, n.e.c.","2024","2024","1000 USD","824036","E","Estimated value"
