indicator_id,country_id,year,value,magnitude,qualifier
10403,BGD,1998,7,,
10403,BGD,1999,7,,
10403,BGD,2000,7,,
10403,BGD,2001,7,,
10403,BGD,2002,7,,
10403,BGD,2003,7,,
10403,BGD,2004,7,,
10403,BGD,2005,7,,
10403,BGD,2006,7,,
10403,BGD,2007,7,,
10403,BGD,2008,7,,
10403,BGD,2009,7,,
10403,BGD,2010,7,,
10403,BGD,2011,7,,
10403,BGD,2012,7,,
10403,BGD,2013,7,,
10403,BGD,2014,7,,
10403,BGD,2015,7,,
10403,BGD,2016,7,,
10403,BGD,2017,7,,
10403,BGD,2018,7,,
10403,BGD,2019,7,,
10403,BGD,2020,7,,
10403,BGD,2021,7,,
10403,BGD,2022,7,,
10403,BGD,2023,7,,
10403,BGD,2024,7,,
10404,BGD,1998,6,,
10404,BGD,1999,6,,
10404,BGD,2000,6,,
10404,BGD,2001,6,,
10404,BGD,2002,6,,
10404,BGD,2003,6,,
10404,BGD,2004,6,,
10404,BGD,2005,6,,
10404,BGD,2006,6,,
10404,BGD,2007,6,,
10404,BGD,2008,6,,
10404,BGD,2009,6,,
10404,BGD,2010,6,,
10404,BGD,2011,6,,
10404,BGD,2012,6,,
10404,BGD,2013,6,,
10404,BGD,2014,6,,
10404,BGD,2015,6,,
10404,BGD,2016,6,,
10404,BGD,2017,6,,
10404,BGD,2018,6,,
10404,BGD,2019,6,,
10404,BGD,2020,6,,
10404,BGD,2021,6,,
10404,BGD,2022,6,,
10404,BGD,2023,6,,
10404,BGD,2024,6,,
10405,BGD,1970,1969,,
10405,BGD,1971,1970,,
10405,BGD,1972,1971,,
10405,BGD,1973,1972,,
10405,BGD,1974,1973,,
10405,BGD,1975,1974,,
10405,BGD,1976,1975,,
10405,BGD,1977,1976,,
10405,BGD,1978,1977,,
10405,BGD,1979,1978,,
10405,BGD,1980,1979,,
10405,BGD,1981,1980,,
10405,BGD,1982,1981,,
10405,BGD,1983,1982,,
10405,BGD,1984,1983,,
10405,BGD,1985,1984,,
10405,BGD,1986,1985,,
10405,BGD,1987,1986,,
10405,BGD,1988,1987,,
10405,BGD,1989,1988,,
10405,BGD,1990,1989,,
10405,BGD,1991,1990,,
10405,BGD,1992,1991,,
10405,BGD,1993,1992,,
10405,BGD,1994,1993,,
10405,BGD,1995,1994,,
10405,BGD,1996,1995,,
10405,BGD,1997,1996,,
10405,BGD,1998,1997,,
10405,BGD,1999,1998,,
10405,BGD,2000,1999,,
10405,BGD,2001,2000,,
10405,BGD,2002,2001,,
10405,BGD,2003,2002,,
10405,BGD,2004,2003,,
10405,BGD,2005,2004,,
10405,BGD,2006,2005,,
10405,BGD,2007,2006,,
10405,BGD,2008,2007,,
10405,BGD,2009,2008,,
10405,BGD,2010,2009,,
10405,BGD,2011,2010,,
10405,BGD,2012,2011,,
10405,BGD,2013,2012,,
10405,BGD,2014,2013,,
10405,BGD,2015,2014,,
10405,BGD,2016,2015,,
10405,BGD,2017,2016,,
10405,BGD,2018,2017,,
10405,BGD,2019,2018,,
10405,BGD,2020,2019,,
10405,BGD,2021,2020,,
10405,BGD,2022,2021,,
10405,BGD,2023,2022,,
10405,BGD,2024,2023,,
10406,BGD,1998,1998,,
10406,BGD,1999,1999,,
10406,BGD,2000,2000,,
10406,BGD,2001,2001,,
10406,BGD,2002,2002,,
10406,BGD,2003,2003,,
10406,BGD,2004,2004,,
10406,BGD,2005,2005,,
10406,BGD,2006,2006,,
10406,BGD,2007,2007,,
10406,BGD,2008,2008,,
10406,BGD,2009,2009,,
10406,BGD,2010,2010,,
10406,BGD,2011,2011,,
10406,BGD,2012,2012,,
10406,BGD,2013,2013,,
10406,BGD,2014,2014,,
10406,BGD,2015,2015,,
10406,BGD,2016,2016,,
10406,BGD,2017,2017,,
10406,BGD,2018,2018,,
10406,BGD,2019,2019,,
10406,BGD,2020,2020,,
10406,BGD,2021,2021,,
10406,BGD,2022,2022,,
10406,BGD,2023,2023,,
10406,BGD,2024,2024,,
20060,BGD,1972,4928,,
20060,BGD,1973,8215,,
20060,BGD,1988,2317181,,
20060,BGD,1998,2086330,,
20060,BGD,1999,1824548,,
20060,BGD,2000,1693548,,
20060,BGD,2001,1642715,,
20060,BGD,2002,1423714,,
20060,BGD,2003,1165212,,
20060,BGD,2004,1108754,,
20060,BGD,2005,1101429,,
20060,BGD,2009,1066978,,NAT_EST
20060,BGD,2010,1233593,,
20060,BGD,2011,2375955,,
20060,BGD,2013,2961031,,
20060,BGD,2015,2864877,,
20060,BGD,2016,3129535,,
20060,BGD,2017,3667851,,
20060,BGD,2018,3578384,,
20060,BGD,2020,3947852,,
20060,BGD,2021,3136005,,
20060,BGD,2022,3383726,,
20060,BGD,2023,3464279,,
20060,BGD,2024,3496423,,
20061,BGD,1973,5050,,
20061,BGD,1988,1033417,,
20061,BGD,1998,1058083,,
20061,BGD,1999,908590,,
20061,BGD,2000,838616,,
20061,BGD,2001,789201,,
20061,BGD,2002,698405,,
20061,BGD,2003,572992,,
20061,BGD,2004,545189,,
20061,BGD,2005,544577,,
20061,BGD,2009,525028,,NAT_EST
20061,BGD,2010,600114,,
20061,BGD,2011,1148044,,
20061,BGD,2013,1450461,,
20061,BGD,2015,1414331,,
20061,BGD,2016,1559598,,
20061,BGD,2017,1826609,,
20061,BGD,2018,1785825,,
20061,BGD,2020,1983892,,
20061,BGD,2021,1576830,,
20061,BGD,2022,1716403,,
20061,BGD,2023,1748083,,
20061,BGD,2024,1766892,,
20062,BGD,1970,5283787,,
20062,BGD,1971,5040003,,
20062,BGD,1972,6416954,,
20062,BGD,1973,7793907,,
20062,BGD,1974,7747559,,
20062,BGD,1975,8349834,,
20062,BGD,1976,8674004,,
20062,BGD,1977,8227950,,
20062,BGD,1978,8219313,,
20062,BGD,1979,8235237,,
20062,BGD,1980,8240169,,
20062,BGD,1981,8285807,,
20062,BGD,1982,8400000,,
20062,BGD,1983,8808028,,
20062,BGD,1984,8915442,,
20062,BGD,1985,8920292,,
20062,BGD,1986,9115554,,
20062,BGD,1987,9206710,,
20062,BGD,1988,11075476,,
20062,BGD,1989,11285445,,
20062,BGD,1990,11939949,,
20062,BGD,2005,16219478,,
20062,BGD,2006,16396870,,
20062,BGD,2007,16312907,,
20062,BGD,2008,16001605,,NAT_EST
20062,BGD,2009,16539389,,NAT_EST
20062,BGD,2010,16987106,,
20062,BGD,2017,17195385,,
20062,BGD,2018,17338100,,
20062,BGD,2020,17603840,,
20062,BGD,2021,16964967,,
20062,BGD,2022,17162365,,
20062,BGD,2023,16252802,,
20062,BGD,2024,16686625,,
20063,BGD,1970,1693057,,
20063,BGD,1971,1604712,,
20063,BGD,1972,2221503,,
20063,BGD,1973,2697928,,
20063,BGD,1974,2561459,,
20063,BGD,1975,2839021,,
20063,BGD,1976,2975348,,
20063,BGD,1977,3040516,,
20063,BGD,1978,3037282,,
20063,BGD,1979,3043166,,
20063,BGD,1980,3044989,,
20063,BGD,1981,3336989,,
20063,BGD,1982,3417000,,
20063,BGD,1983,3254459,,
20063,BGD,1984,3586112,,
20063,BGD,1985,3568116,,
20063,BGD,1986,3638232,,
20063,BGD,1987,3674614,,
20063,BGD,1988,4829714,,
20063,BGD,1989,4943119,,
20063,BGD,1990,5346707,,
20063,BGD,2005,8129769,,
20063,BGD,2006,8256533,,
20063,BGD,2007,8277554,,
20063,BGD,2008,8081768,,NAT_EST
20063,BGD,2009,8298372,,NAT_EST
20063,BGD,2010,8579504,,
20063,BGD,2017,8681343,,
20063,BGD,2018,8799033,,
20063,BGD,2020,9007559,,
20063,BGD,2021,8381644,,
20063,BGD,2022,8804737,,
20063,BGD,2023,8302408,,
20063,BGD,2024,8562194,,
20064,BGD,1998,5518684,,
20064,BGD,1999,5839120,,
20064,BGD,2000,6131503,,
20064,BGD,2001,6393122,,
20064,BGD,2002,6604177,,
20064,BGD,2003,6597202,,
20064,BGD,2004,6284563,,
20064,BGD,2005,6232512,,
20064,BGD,2006,6179131,,
20064,BGD,2007,6300006,,
20064,BGD,2008,5802844,,
20064,BGD,2009,6221343,,
20064,BGD,2010,6376949,,
20064,BGD,2011,6532646,,
20064,BGD,2012,6940487,,
20064,BGD,2013,7529363.489006,,
20064,BGD,2015,8247057.999999,,
20064,BGD,2016,8399583,,
20064,BGD,2017,8413135,,
20064,BGD,2018,8497398,,
20064,BGD,2019,8348401,,
20064,BGD,2020,8105296,,
20064,BGD,2021,7853383,,
20064,BGD,2022,7894933,,
20064,BGD,2023,7535007,,
20064,BGD,2024,7366911,,
20065,BGD,1998,2780158,,
20065,BGD,1999,3010875,,
20065,BGD,2000,3199873,,
20065,BGD,2001,3427020,,
20065,BGD,2002,3566738,,
20065,BGD,2003,3500875,,
20065,BGD,2004,3219428,,
20065,BGD,2005,3237969,,
20065,BGD,2006,3212065,,
20065,BGD,2007,3269219,,
20065,BGD,2008,3125451,,
20065,BGD,2009,3303921,,
20065,BGD,2010,3457167,,
20065,BGD,2011,3586506,,
20065,BGD,2012,3779725,,
20065,BGD,2013,3968588.72282,,
20065,BGD,2015,4488843.000001,,
20065,BGD,2016,4598656,,
20065,BGD,2017,4628604,,
20065,BGD,2018,4685559,,
20065,BGD,2019,4583706,,
20065,BGD,2020,4491120,,
20065,BGD,2021,4432495,,
20065,BGD,2022,4340846,,
20065,BGD,2023,4157569,,
20065,BGD,2024,4036932,,
20070,BGD,1998,3614895,,
20070,BGD,1999,4073198,,
20070,BGD,2000,4197562,,
20070,BGD,2001,4297620,,
20070,BGD,2002,4420149,,
20070,BGD,2003,4454032,,
20070,BGD,2004,4070197,,
20070,BGD,2005,3876883,,
20070,BGD,2006,4071731,,
20070,BGD,2007,4144708,,
20070,BGD,2008,4234045,,
20070,BGD,2009,4685722,,
20070,BGD,2010,4957106,,
20070,BGD,2011,5010318,,
20070,BGD,2012,5246667,,
20070,BGD,2013,5784714.507178999,,
20070,BGD,2015,6319714,,
20070,BGD,2016,7388235,,
20070,BGD,2017,6901622,,
20070,BGD,2018,7372422,,
20070,BGD,2019,7362573,,
20070,BGD,2020,7849556.000002,,
20070,BGD,2021,8169545,,
20070,BGD,2022,8175411,,
20070,BGD,2023,8126725,,
20070,BGD,2024,7700610,,
20071,BGD,1998,1552372,,
20071,BGD,1999,1819590,,
20071,BGD,2000,1931575,,
20071,BGD,2001,2016789,,
20071,BGD,2002,2092976,,
20071,BGD,2003,2170056,,
20071,BGD,2004,1914343,,
20071,BGD,2005,1872617,,
20071,BGD,2006,1952786,,
20071,BGD,2007,1987023,,
20071,BGD,2008,2091416,,
20071,BGD,2009,2247853,,
20071,BGD,2010,2423051,,
20071,BGD,2011,2476560,,
20071,BGD,2012,2580757,,
20071,BGD,2013,2809607.277179,,
20071,BGD,2015,3070548,,
20071,BGD,2016,3511284,,
20071,BGD,2017,3457599,,
20071,BGD,2018,3668287,,
20071,BGD,2019,3699960,,
20071,BGD,2020,4052857.000001,,
20071,BGD,2021,4517531,,
20071,BGD,2022,4182094,,
20071,BGD,2023,4107339,,
20071,BGD,2024,3934738,,
20076,BGD,1998,17518,,
20076,BGD,1999,17035,,
20076,BGD,2000,18084,,
20076,BGD,2001,19758,,
20076,BGD,2002,23259,,
20076,BGD,2003,25422,,
20076,BGD,2004,70130,,
20076,BGD,2005,81993,,
20076,BGD,2006,80747,,
20076,BGD,2007,84006,,
20076,BGD,2008,134720,,
20076,BGD,2009,141708,,
20076,BGD,2010,160514,,
20076,BGD,2011,166370,,
20076,BGD,2012,213218,,
20076,BGD,2013,244365,,
20076,BGD,2015,324854,,
20076,BGD,2016,280681,,
20076,BGD,2017,287110,,
20076,BGD,2018,310334,,
20076,BGD,2019,310642,,
20076,BGD,2020,314707.000002,,
20076,BGD,2021,331779,,
20076,BGD,2022,884145,,
20076,BGD,2023,502496,,
20076,BGD,2024,420816,,
20077,BGD,1998,7645,,
20077,BGD,1999,7693,,
20077,BGD,2000,7801,,
20077,BGD,2001,7959,,
20077,BGD,2002,9875,,
20077,BGD,2003,10141,,
20077,BGD,2004,17881,,
20077,BGD,2005,18571,,
20077,BGD,2006,18775,,
20077,BGD,2007,19222,,
20077,BGD,2008,20799,,
20077,BGD,2009,24059,,
20077,BGD,2010,31644,,
20077,BGD,2011,28231,,
20077,BGD,2012,38373,,
20077,BGD,2013,38373,,
20077,BGD,2015,67067,,
20077,BGD,2016,47413,,
20077,BGD,2017,54364,,
20077,BGD,2018,54976,,
20077,BGD,2019,55832,,
20077,BGD,2020,57373.000001,,
20077,BGD,2021,63208,,
20077,BGD,2022,267956,,
20077,BGD,2023,172901,,
20077,BGD,2024,143166,,
20082,BGD,1973,2265469,,
20082,BGD,1976,2183413,,
20082,BGD,1977,2238186,,
20082,BGD,1979,2349920,,
20082,BGD,1980,2659208,,
20082,BGD,1981,2407888,,
20082,BGD,1983,2959437,,
20082,BGD,1984,3111267,,
20082,BGD,1985,3125219,,
20082,BGD,1986,3136454,,
20082,BGD,1987,3272858,,
20082,BGD,1988,3340120,,
20082,BGD,1989,3406520,,
20082,BGD,1990,3592995,,
20082,BGD,1998,9133579,,
20082,BGD,1999,9912318,,
20082,BGD,2000,10329065,,
20082,BGD,2001,10690742,,
20082,BGD,2002,11024326,,
20082,BGD,2003,11051234,,
20082,BGD,2004,10354760,,
20082,BGD,2005,10109395,,
20082,BGD,2006,10250862,,
20082,BGD,2007,10444714,,
20082,BGD,2008,10036889,,
20082,BGD,2009,10907065,,
20082,BGD,2010,11334055,,
20082,BGD,2011,11542964,,
20082,BGD,2012,12187154,,
20082,BGD,2013,13314077.996185,,
20082,BGD,2015,14566771.999999,,
20082,BGD,2016,15787818,,
20082,BGD,2017,15314757,,
20082,BGD,2018,15869820,,
20082,BGD,2019,15710974,,
20082,BGD,2020,15954852.000002,,
20082,BGD,2021,16022928,,
20082,BGD,2022,16070344,,
20082,BGD,2023,15661732,,
20082,BGD,2024,15067521,,
20083,BGD,1973,568172,,
20083,BGD,1976,533113,,
20083,BGD,1977,471326,,
20083,BGD,1979,471918,,
20083,BGD,1980,636584,,
20083,BGD,1981,448745,,
20083,BGD,1984,889444,,
20083,BGD,1985,875353,,
20083,BGD,1986,975817,,
20083,BGD,1987,1004429,,
20083,BGD,1988,1051799,,
20083,BGD,1989,1098393,,
20083,BGD,1990,1180440,,
20083,BGD,1998,4332530,,
20083,BGD,1999,4830465,,
20083,BGD,2000,5131448,,
20083,BGD,2001,5443809,,
20083,BGD,2002,5659714,,
20083,BGD,2003,5670931,,
20083,BGD,2004,5133771,,
20083,BGD,2005,5110586,,
20083,BGD,2006,5164851,,
20083,BGD,2007,5256242,,
20083,BGD,2008,5216867,,
20083,BGD,2009,5551774,,
20083,BGD,2010,5880218,,
20083,BGD,2011,6063066,,
20083,BGD,2012,6360482,,
20083,BGD,2013,6778195.999999,,
20083,BGD,2015,7559391.000001,,
20083,BGD,2016,8109940,,
20083,BGD,2017,8086203,,
20083,BGD,2018,8353846,,
20083,BGD,2019,8283666,,
