indicator_id,country_id,year,value,magnitude,qualifier
ADMI.ENDOFLOWERSEC.MAT,BGD,2014,1,,
ADMI.ENDOFLOWERSEC.MAT,BGD,2015,1,,
ADMI.ENDOFLOWERSEC.MAT,BGD,2016,1,,
ADMI.ENDOFLOWERSEC.MAT,BGD,2017,1,,
ADMI.ENDOFLOWERSEC.MAT,BGD,2018,1,,
ADMI.ENDOFLOWERSEC.MAT,BGD,2019,1,,
ADMI.ENDOFLOWERSEC.MAT,BGD,2020,1,,
ADMI.ENDOFLOWERSEC.MAT,BGD,2021,1,,
ADMI.ENDOFLOWERSEC.MAT,BGD,2022,1,,
ADMI.ENDOFLOWERSEC.MAT,BGD,2023,1,,
ADMI.ENDOFLOWERSEC.MAT,BGD,2024,0,,
ADMI.ENDOFLOWERSEC.MAT,BGD,2025,0,,
ADMI.ENDOFLOWERSEC.READ,BGD,2014,1,,
ADMI.ENDOFLOWERSEC.READ,BGD,2015,1,,
ADMI.ENDOFLOWERSEC.READ,BGD,2016,1,,
ADMI.ENDOFLOWERSEC.READ,BGD,2017,1,,
ADMI.ENDOFLOWERSEC.READ,BGD,2018,1,,
ADMI.ENDOFLOWERSEC.READ,BGD,2019,1,,
ADMI.ENDOFLOWERSEC.READ,BGD,2020,1,,
ADMI.ENDOFLOWERSEC.READ,BGD,2021,1,,
ADMI.ENDOFLOWERSEC.READ,BGD,2022,1,,
ADMI.ENDOFLOWERSEC.READ,BGD,2023,1,,
ADMI.ENDOFLOWERSEC.READ,BGD,2024,0,,
ADMI.ENDOFLOWERSEC.READ,BGD,2025,0,,
ADMI.ENDOFPRIM.MAT,BGD,2014,1,,
ADMI.ENDOFPRIM.MAT,BGD,2015,1,,
ADMI.ENDOFPRIM.MAT,BGD,2016,1,,
ADMI.ENDOFPRIM.MAT,BGD,2017,1,,
ADMI.ENDOFPRIM.MAT,BGD,2018,1,,
ADMI.ENDOFPRIM.MAT,BGD,2019,1,,
ADMI.ENDOFPRIM.MAT,BGD,2020,1,,
ADMI.ENDOFPRIM.MAT,BGD,2021,1,,
ADMI.ENDOFPRIM.MAT,BGD,2022,1,,
ADMI.ENDOFPRIM.MAT,BGD,2023,1,,
ADMI.ENDOFPRIM.MAT,BGD,2024,1,,
ADMI.ENDOFPRIM.MAT,BGD,2025,1,,
ADMI.ENDOFPRIM.READ,BGD,2014,1,,
ADMI.ENDOFPRIM.READ,BGD,2015,1,,
ADMI.ENDOFPRIM.READ,BGD,2016,1,,
ADMI.ENDOFPRIM.READ,BGD,2017,1,,
ADMI.ENDOFPRIM.READ,BGD,2018,1,,
ADMI.ENDOFPRIM.READ,BGD,2019,1,,
ADMI.ENDOFPRIM.READ,BGD,2020,1,,
ADMI.ENDOFPRIM.READ,BGD,2021,1,,
ADMI.ENDOFPRIM.READ,BGD,2022,1,,
ADMI.ENDOFPRIM.READ,BGD,2023,1,,
ADMI.ENDOFPRIM.READ,BGD,2024,1,,
ADMI.ENDOFPRIM.READ,BGD,2025,1,,
ADMI.GRADE2OR3PRIM.MAT,BGD,2014,1,,
ADMI.GRADE2OR3PRIM.MAT,BGD,2015,1,,
ADMI.GRADE2OR3PRIM.MAT,BGD,2016,1,,
ADMI.GRADE2OR3PRIM.MAT,BGD,2017,1,,
ADMI.GRADE2OR3PRIM.MAT,BGD,2018,1,,
ADMI.GRADE2OR3PRIM.MAT,BGD,2019,1,,
ADMI.GRADE2OR3PRIM.MAT,BGD,2020,1,,
ADMI.GRADE2OR3PRIM.MAT,BGD,2021,1,,
ADMI.GRADE2OR3PRIM.MAT,BGD,2022,1,,
ADMI.GRADE2OR3PRIM.MAT,BGD,2023,1,,
ADMI.GRADE2OR3PRIM.MAT,BGD,2024,1,,
ADMI.GRADE2OR3PRIM.MAT,BGD,2025,1,,
ADMI.GRADE2OR3PRIM.READ,BGD,2014,1,,
ADMI.GRADE2OR3PRIM.READ,BGD,2015,1,,
