indicator_id,country_id,year,type,metadata
ADMI.ENDOFLOWERSEC.MAT,BGD,2014,Source:Data sources,Learning Assessment of Secondary Institutions(2012); Learning Assessment of Secondary Institutions(2013)
ADMI.ENDOFLOWERSEC.MAT,BGD,2015,Source:Data sources,Learning Assessment of Secondary Institutions(2012); Learning Assessment of Secondary Institutions(2013); Learning Assessment of Secondary Institutions(2015)
ADMI.ENDOFLOWERSEC.MAT,BGD,2016,Source:Data sources,Learning Assessment of Secondary Institutions(2012); Learning Assessment of Secondary Institutions(2013); Learning Assessment of Secondary Institutions(2015)
ADMI.ENDOFLOWERSEC.MAT,BGD,2017,Source:Data sources,Learning Assessment of Secondary Institutions(2013); Learning Assessment of Secondary Institutions(2015); Learning Assessment of Secondary Institutions(2017)
ADMI.ENDOFLOWERSEC.MAT,BGD,2018,Source:Data sources,Learning Assessment of Secondary Institutions(2015); Learning Assessment of Secondary Institutions(2017)
ADMI.ENDOFLOWERSEC.MAT,BGD,2019,Source:Data sources,Learning Assessment of Secondary Institutions(2015); Learning Assessment of Secondary Institutions(2017); Learning Assessment of Secondary Institutions(2019)
ADMI.ENDOFLOWERSEC.MAT,BGD,2020,Source:Data sources,Learning Assessment of Secondary Institutions(2017); Learning Assessment of Secondary Institutions(2019)
ADMI.ENDOFLOWERSEC.MAT,BGD,2021,Source:Data sources,Learning Assessment of Secondary Institutions(2017); Learning Assessment of Secondary Institutions(2019)
ADMI.ENDOFLOWERSEC.MAT,BGD,2022,Source:Data sources,Learning Assessment of Secondary Institutions(2019)
ADMI.ENDOFLOWERSEC.MAT,BGD,2023,Source:Data sources,Learning Assessment of Secondary Institutions(2019)
ADMI.ENDOFLOWERSEC.READ,BGD,2014,Source:Data sources,Learning Assessment of Secondary Institutions(2012); Learning Assessment of Secondary Institutions(2013)
ADMI.ENDOFLOWERSEC.READ,BGD,2015,Source:Data sources,Learning Assessment of Secondary Institutions(2012); Learning Assessment of Secondary Institutions(2013); Learning Assessment of Secondary Institutions(2015)
ADMI.ENDOFLOWERSEC.READ,BGD,2016,Source:Data sources,Learning Assessment of Secondary Institutions(2012); Learning Assessment of Secondary Institutions(2013); Learning Assessment of Secondary Institutions(2015)
ADMI.ENDOFLOWERSEC.READ,BGD,2017,Source:Data sources,Learning Assessment of Secondary Institutions(2013); Learning Assessment of Secondary Institutions(2015); Learning Assessment of Secondary Institutions(2017)
ADMI.ENDOFLOWERSEC.READ,BGD,2018,Source:Data sources,Learning Assessment of Secondary Institutions(2015); Learning Assessment of Secondary Institutions(2017)
ADMI.ENDOFLOWERSEC.READ,BGD,2019,Source:Data sources,Learning Assessment of Secondary Institutions(2015); Learning Assessment of Secondary Institutions(2017); Learning Assessment of Secondary Institutions(2019)
ADMI.ENDOFLOWERSEC.READ,BGD,2020,Source:Data sources,Learning Assessment of Secondary Institutions(2017); Learning Assessment of Secondary Institutions(2019)
ADMI.ENDOFLOWERSEC.READ,BGD,2021,Source:Data sources,Learning Assessment of Secondary Institutions(2017); Learning Assessment of Secondary Institutions(2019)
ADMI.ENDOFLOWERSEC.READ,BGD,2022,Source:Data sources,Learning Assessment of Secondary Institutions(2019)
ADMI.ENDOFLOWERSEC.READ,BGD,2023,Source:Data sources,Learning Assessment of Secondary Institutions(2019)
ADMI.ENDOFPRIM.MAT,BGD,2014,Source:Data sources,Learning Assessment of Secondary Institutions(2013); National Student Assessment(2011)
ADMI.ENDOFPRIM.MAT,BGD,2015,Source:Data sources,Learning Assessment of Secondary Institutions(2013); National Student Assessment(2011); National Student Assessment(2015)
ADMI.ENDOFPRIM.MAT,BGD,2016,Source:Data sources,Learning Assessment of Secondary Institutions(2013); National Student Assessment(2015)
ADMI.ENDOFPRIM.MAT,BGD,2017,Source:Data sources,Learning Assessment of Secondary Institutions(2013); National Student Assessment(2015); National Student Assessment(2017)
ADMI.ENDOFPRIM.MAT,BGD,2018,Source:Data sources,National Student Assessment(2015); National Student Assessment(2017)
ADMI.ENDOFPRIM.MAT,BGD,2019,Source:Data sources,National Student Assessment(2015); National Student Assessment(2017); National Student Assessment(2019)
ADMI.ENDOFPRIM.MAT,BGD,2020,Source:Data sources,National Student Assessment(2017); National Student Assessment(2019)
ADMI.ENDOFPRIM.MAT,BGD,2021,Source:Data sources,National Student Assessment(2017); National Student Assessment(2019)
ADMI.ENDOFPRIM.MAT,BGD,2022,Source:Data sources,National Student Assessment(2019); National Student Assessment(2022)
ADMI.ENDOFPRIM.MAT,BGD,2023,Source:Data sources,National Student Assessment(2019); National Student Assessment(2022)
ADMI.ENDOFPRIM.MAT,BGD,2024,Source:Data sources,National Student Assessment(2022)
ADMI.ENDOFPRIM.MAT,BGD,2025,Source:Data sources,National Student Assessment(2022)
ADMI.ENDOFPRIM.READ,BGD,2014,Source:Data sources,Learning Assessment of Secondary Institutions(2013); National Student Assessment(2011)
ADMI.ENDOFPRIM.READ,BGD,2015,Source:Data sources,Learning Assessment of Secondary Institutions(2013); National Student Assessment(2011); National Student Assessment(2015)
ADMI.ENDOFPRIM.READ,BGD,2016,Source:Data sources,Learning Assessment of Secondary Institutions(2013); National Student Assessment(2015)
ADMI.ENDOFPRIM.READ,BGD,2017,Source:Data sources,Learning Assessment of Secondary Institutions(2013); National Student Assessment(2015); National Student Assessment(2017)
ADMI.ENDOFPRIM.READ,BGD,2018,Source:Data sources,National Student Assessment(2015); National Student Assessment(2017)
ADMI.ENDOFPRIM.READ,BGD,2019,Source:Data sources,National Student Assessment(2015); National Student Assessment(2017); National Student Assessment(2019)
ADMI.ENDOFPRIM.READ,BGD,2020,Source:Data sources,National Student Assessment(2017); National Student Assessment(2019)
ADMI.ENDOFPRIM.READ,BGD,2021,Source:Data sources,National Student Assessment(2017); National Student Assessment(2019)
ADMI.ENDOFPRIM.READ,BGD,2022,Source:Data sources,National Student Assessment(2019); National Student Assessment(2022)
ADMI.ENDOFPRIM.READ,BGD,2023,Source:Data sources,National Student Assessment(2019); National Student Assessment(2022)
ADMI.ENDOFPRIM.READ,BGD,2024,Source:Data sources,National Student Assessment(2022)
ADMI.ENDOFPRIM.READ,BGD,2025,Source:Data sources,National Student Assessment(2022)
ADMI.GRADE2OR3PRIM.MAT,BGD,2014,Source:Data sources,National Student Assessment(2011); National Student Assessment(2013)
ADMI.GRADE2OR3PRIM.MAT,BGD,2015,Source:Data sources,National Student Assessment(2011); National Student Assessment(2013); National Student Assessment(2015)
ADMI.GRADE2OR3PRIM.MAT,BGD,2016,Source:Data sources,National Student Assessment(2013); National Student Assessment(2015)
ADMI.GRADE2OR3PRIM.MAT,BGD,2017,Source:Data sources,National Student Assessment(2013); National Student Assessment(2015); National Student Assessment(2017)
ADMI.GRADE2OR3PRIM.MAT,BGD,2018,Source:Data sources,National Student Assessment(2015); National Student Assessment(2017)
ADMI.GRADE2OR3PRIM.MAT,BGD,2019,Source:Data sources,Multiple Indicator Cluster Surveys 6(2019); National Student Assessment(2015); National Student Assessment(2017); National Student Assessment(2019)
ADMI.GRADE2OR3PRIM.MAT,BGD,2020,Source:Data sources,Multiple Indicator Cluster Surveys 6(2019); National Student Assessment(2017); National Student Assessment(2019)
ADMI.GRADE2OR3PRIM.MAT,BGD,2021,Source:Data sources,Multiple Indicator Cluster Surveys 6(2019); National Student Assessment(2017); National Student Assessment(2019)
ADMI.GRADE2OR3PRIM.MAT,BGD,2022,Source:Data sources,Multiple Indicator Cluster Surveys 6(2019); National Student Assessment(2019); National Student Assessment(2022)
ADMI.GRADE2OR3PRIM.MAT,BGD,2023,Source:Data sources,Multiple Indicator Cluster Surveys 6(2019); National Student Assessment(2019); National Student Assessment(2022)
ADMI.GRADE2OR3PRIM.MAT,BGD,2024,Source:Data sources,Early Language & Literacy and Numeracy Assessment(2024); National Student Assessment(2022)
ADMI.GRADE2OR3PRIM.MAT,BGD,2025,Source:Data sources,Early Language & Literacy and Numeracy Assessment(2024); National Student Assessment(2022)
ADMI.GRADE2OR3PRIM.READ,BGD,2014,Source:Data sources,National Student Assessment(2011); National Student Assessment(2013)
ADMI.GRADE2OR3PRIM.READ,BGD,2015,Source:Data sources,National Student Assessment(2011); National Student Assessment(2013); National Student Assessment(2015)
ADMI.GRADE2OR3PRIM.READ,BGD,2016,Source:Data sources,National Student Assessment(2013); National Student Assessment(2015)
ADMI.GRADE2OR3PRIM.READ,BGD,2017,Source:Data sources,National Student Assessment(2013); National Student Assessment(2015); National Student Assessment(2017)
ADMI.GRADE2OR3PRIM.READ,BGD,2018,Source:Data sources,National Student Assessment(2015); National Student Assessment(2017)
ADMI.GRADE2OR3PRIM.READ,BGD,2019,Source:Data sources,Multiple Indicator Cluster Surveys 6(2019); National Student Assessment(2015); National Student Assessment(2017); National Student Assessment(2019)
ADMI.GRADE2OR3PRIM.READ,BGD,2020,Source:Data sources,Multiple Indicator Cluster Surveys 6(2019); National Student Assessment(2017); National Student Assessment(2019)
ADMI.GRADE2OR3PRIM.READ,BGD,2021,Source:Data sources,Multiple Indicator Cluster Surveys 6(2019); National Student Assessment(2017); National Student Assessment(2019)
ADMI.GRADE2OR3PRIM.READ,BGD,2022,Source:Data sources,Multiple Indicator Cluster Surveys 6(2019); National Student Assessment(2019); National Student Assessment(2022)
ADMI.GRADE2OR3PRIM.READ,BGD,2023,Source:Data sources,Multiple Indicator Cluster Surveys 6(2019); National Student Assessment(2019); National Student Assessment(2022)
ADMI.GRADE2OR3PRIM.READ,BGD,2024,Source:Data sources,Early Language & Literacy and Numeracy Assessment(2024); National Student Assessment(2022)
ADMI.GRADE2OR3PRIM.READ,BGD,2025,Source:Data sources,Early Language & Literacy and Numeracy Assessment(2024); National Student Assessment(2022)
AIR.1.GLAST,BGD,1976,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
AIR.1.GLAST,BGD,1976,Source:Data sources,NA
